"name","pos","team","sourceName","player","playerID","season","positionRank","overallRank","pointsLo","pointsHi","vor","pick","risk","sdPts","sdPick","dropOffNorm","passAtt","passComp","passIncomp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recTgt","recYds","recTds","returnTds","twoPts","fumbles","dstYdsAllowed","dstSack","dstSafety","dstInt","dstFumlRec","dstFumlForce","dstBlk","dstTd","fg","fgAtt","fg2029","fg3039","fg4049","fg50","xp","points"
"TYRODTAYLOR","QB","BUF","averageRobust","Tyrod Taylor",996,2015,29,182,34.7,210.48,-104.961089903232,171.8,5.49223926916223,13.7896626,28.7,2.60163971658511,425.5,244.5,180.425,2673,15.8,14.25,65.05,232.5,2.00004294812194,0,0,0,0,0,0.25,2.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.220257688732
"JIMDRAY","TE","CLE","averageWeighted","Jim Dray",500,2015,63,182,15.2666666666667,62.5,-103.075330204391,NA,5.33028539619708,10.588235,NA,0.0448397389085901,0,0,0,0,0,0,0,0,0,15.2666666666667,15.7,183.833333333333,1,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.05
"BRANDONMYERS","TE","TB","cbs","Brandon Myers",109,2015,65,182,27.5,57.9,-96.3253302043914,325.5,3.52984164969471,10.22994,7.5,0.704241570548969,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8,15.7,214,0.9,0,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8
"LUKEWILLSON","TE","SEA","espn","Luke Willson",650,2015,53,182,28.9333333333333,83.8,-113.191996871058,281.3,7.26678456679147,26.597844,19.2,0.147591969575957,0,0,0,0,0,0,0,0,0,11,16.5,122,1,0,0,0.133333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.9333333333333
"DOUGBALDWIN","WR","SEA","fox","Doug Baldwin",333,2015,63,182,151.06,175.9,-102.282968607668,146.8,4.57713772380384,11.957169,17.5,0.322575836476824,NA,NA,NA,NA,NA,NA,0,0,0,51,84.6,797,4,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.7
"TERRANCEWILLIAMS","WR","DAL","fp","Terrance Williams",928,2015,53,182,135.62,170.8,-109.102968607668,122.439473684211,3.2164671249933,4.00302,11.9565,0.2706565138965,NA,NA,NA,NA,NA,NA,0.1,0.2,0,41.3,69.3,687.6,6.1,0,0.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.88
"REGGIEBUSH","RB","SF","nfl","Reggie Bush",811,2015,43,182,117.66,148.1,-110.935108438832,140.585714285714,3.69345228414691,8.78440500000002,9.81396490036778,0.612833172761332,0,0,0,NA,NA,NA,96.64,355,3,36.12,52.5,185,2,0.9,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.52
"DAVIDJOHNSON","RB","ARZ","yahoo","David Johnson",280,2015,46,182,72.7,121,-109.455108438832,136.865975103734,4.60070248551013,12.468666,17.4978,1.58348071356462,0,0,0,0,0,0,96.4,392,3.2,31.6,38.4,254,1.2,0,0.1,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121
"DWAYNEBOWE","WR","CLE","average","Dwayne Bowe",346,2015,52,183,114.7,193.5,-103.662968607668,152.2,6.47514459021845,25.611915,18.2,0.325031525441285,0,0,0,0,0,0,0,0,0,53.74,81,767.3,3.66666666666667,0,0.05,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.32
"MATTSPAETH","TE","PIT","averageRobust","Matt Spaeth",710,2015,62,183,8.1,104,-105.195168777769,323.5,3.90262812775426,12.6021,7.5,0.100369671203707,0,0,0,0,0,0,0,0,0,10.6001614266227,5.6,150.3,1.95,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.9301614266227
