"name","pos","sourceName","name_yahoo","team_yahoo","positionRank","overallRank","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recTgt","recYds","recTds","returnTds","twoPts","fumbles","dstSack","dstSafety","dstInt","dstFumlRec","dstBlk","dstTd","fg","fg2029","fg3039","fg4049","fg50","points"
"EDDIELACY","RB","yahoo","Eddie Lacy","GB",2,28,0,0,0,286,1268,8.2,43,55.5,303,2.4,0,0.3,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218.39
"ANTONIOBROWN","WR","yahoo","Antonio Brown","PIT",1,29,0,0,0,4.4,28.8,0.1,116,171,1524,9.3,1.1,0.3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.76
"NICKFOLES","QB","yahoo","Nick Foles","STL",27,30,3488,18.4,11.8,34.1,153,1.1,0,0,0,0,0,0.5,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.37
"MARSHAWNLYNCH","RB","yahoo","Marshawn Lynch","SEA",3,31,0,0,0,281,1291,9.1,33,41.3,261,1.8,0,0.3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.13
"JAMAALCHARLES","RB","yahoo","Jamaal Charles","KC",4,32,0,0,0,236,1085,7.7,53.1,69.4,459,3.1,0,0.3,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214.07
"ROBERTGRIFFIN","QB","yahoo","Robert Griffin III","WAS",28,33,2985,15.3,9.4,63.4,389,2.4,0,0,0,0,0,0.5,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212.06
"CJANDERSON","RB","yahoo","C.J. Anderson","DEN",5,34,0,0,0,257,1116,8.7,46.7,58,399,1.4,0,0.2,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210.67
"LEVEONBELL","RB","yahoo","Le'Veon Bell","PIT",6,35,0,0,0,251,1079,5.7,61.9,79.1,498,2.8,0,0.2,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207.3
"JEREMYHILL","RB","yahoo","Jeremy Hill","CIN",7,36,0,0,0,282,1298,10.2,22.9,28.5,174,0.6,0,0.3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206.43
"MATTFORTE","RB","yahoo","Matt Forte","CHI",8,37,0,0,0,242,1029,5.2,64.1,77.6,590,2.4,0,0.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205.59
"LESEANMCCOY","RB","yahoo","LeSean McCoy","BUF",9,38,0,0,0,303,1356,7.3,28.6,35,202,1,0,0.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201.97
"DEMARYIUSTHOMAS","WR","yahoo","Demaryius Thomas","DEN",2,39,0,0,0,0,0,0,100,162,1276,11.2,0,0.3,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.75
"JULIOJONES","WR","yahoo","Julio Jones","ATL",3,40,0,0,0,1.9,12.7,0.1,108,162,1431,8.6,0,0.2,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.62
