"name","pos","sourceName","name_fp","team_fp","positionRank","overallRank","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","returnTds","twoPts","fumbles","fg","xp","points"
"KEVINNORWOOD","WR","fp","Kevin Norwood","CAR",198,577,NA,NA,NA,NA,NA,0,0,0,1.4,18.8,0.1,NA,NA,0,NA,NA,2.6
"CHRISTIONJONES","WR","fp","Christion Jones","MIA",199,578,NA,NA,NA,NA,NA,0,0,0,1.6,19.3,0.1,NA,NA,0,NA,NA,2.5
"THOMASRAWLS","RB","fp","Thomas Rawls","SEA",174,579,NA,NA,NA,NA,NA,4.5,17.6,0.1,0,0,0,NA,NA,0.1,NA,NA,2.4
"GRIFFWHALEN","WR","fp","Griff Whalen","IND",200,580,NA,NA,NA,NA,NA,0,0,0,1.9,20.3,0.1,NA,NA,0.1,NA,NA,2.4
"MARIOALFORD","WR","fp","Mario Alford","CIN",201,581,NA,NA,NA,NA,NA,0,0,0,1.4,18.5,0.1,NA,NA,0,NA,NA,2.4
"JAKESTONEBURNER","TE","fp","Jake Stoneburner","MIA",108,582,NA,NA,NA,NA,NA,NA,NA,NA,1.6,16.6,0.1,NA,NA,0,NA,NA,2.4
"DOMINIQUEJONES","TE","fp","Dominique Jones","DEN",109,583,NA,NA,NA,NA,NA,NA,NA,NA,1.6,17.6,0.1,NA,NA,0,NA,NA,2.4
"MATTSCHAUB","QB","fp","Matt Schaub","BAL",65,584,9.5,5.7,60,0.2,0.3,1.1,1.1,0,NA,NA,NA,NA,NA,0.2,NA,NA,2.3
"TREYWILLIAMS","RB","fp","Trey Williams","WAS",175,585,NA,NA,NA,NA,NA,3.2,12.3,0.1,0.5,5,0,NA,NA,0,NA,NA,2.2
"EJBIBBS","TE","fp","E.J. Bibbs","CLE",110,586,NA,NA,NA,NA,NA,NA,NA,NA,1.5,16.7,0.1,NA,NA,0,NA,NA,2.2
"MATTHEWMULLIGAN","TE","fp","Matthew Mulligan","BUF",111,587,NA,NA,NA,NA,NA,NA,NA,NA,1.2,12.3,0.2,NA,NA,0,NA,NA,2.2
"DJWILLIAMS","TE","fp","D.J. Williams","WAS",112,588,NA,NA,NA,NA,NA,NA,NA,NA,1.3,14.9,0.1,NA,NA,0,NA,NA,2.1
"MATTMOORE","QB","fp","Matt Moore","MIA",66,589,4.9,3.1,36.5,0.2,0.1,0.5,0,0,NA,NA,NA,NA,NA,0.1,NA,NA,1.9
"KENJONBARNER","RB","fp","Kenjon Barner","PHI",176,590,NA,NA,NA,NA,NA,3.2,10.6,0.1,0.5,3.6,0,NA,NA,0,NA,NA,1.9
"DIONLEWIS","RB","fp","Dion Lewis","NE",177,591,NA,NA,NA,NA,NA,2.6,9.9,0.1,0.5,3.7,0,NA,NA,0,NA,NA,1.9
"RICHARDGORDON","TE","fp","Richard Gordon","KC",113,592,NA,NA,NA,NA,NA,NA,NA,NA,1.9,14.5,0.1,NA,NA,0,NA,NA,1.9
"COREYGRANT","RB","fp","Corey Grant","JAC",178,593,NA,NA,NA,NA,NA,3.7,14.3,0.1,0,0,0,NA,NA,0,NA,NA,1.8
"SHAUNDRAUGHN","RB","fp","Shaun Draughn","CLE",179,594,NA,NA,NA,NA,NA,4.5,11.1,0.1,0.5,1,0,NA,NA,0,NA,NA,1.6
"TAYLORYA","QB","fp","Taylor Ya","tes",67,595,5,3.2,33.5,0.1,0.2,0.5,0.5,0,NA,NA,NA,NA,NA,0.1,NA,NA,1.2
"JARRYDHAYNE","RB","fp","Jarryd Hayne","SF",180,596,NA,NA,NA,NA,NA,2.1,8.1,0.1,0,0,0,NA,NA,0,NA,NA,1.1
"JACOBYFORD","WR","fp","Jacoby Ford","TEN",202,597,NA,NA,NA,NA,NA,0,0,0,1.5,12.3,0,NA,NA,0.1,NA,NA,1
"MATTMCGLOIN","QB","fp","Matt McGloin","OAK",68,598,3,2,23,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0.9
"TARVARISJACKSON","QB","fp","Tarvaris Jackson","SEA",69,599,1.8,1,14.5,0,0,0.3,0.4,0,NA,NA,NA,NA,NA,0,NA,NA,0.8
"DANORLOVSKY","QB","fp","Dan Orlovsky","DET",70,600,1.7,1,12.1,0,0,0,0.1,0,NA,NA,NA,NA,NA,0,NA,NA,0.6
