"name","player","pos","team","overallRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","passAttMedian","passCompMedian","passIncompMedian","rushAttMedian","projectedPtsMean","projectedPtsMedian","pick","sdPts","sdPick","risk"
"TYLEREIFERT","Tyler Eifert","TE","CIN",188,86.8609352456212,32.41,88.2,69.3,77.5,NA,82.01,92.1,87.3,94.5,96,94.1,110.1,80.4,95,NA,66.8,0,0,0,0,85.7210357142857,86.8609352456212,135.5,18.5590321010411,8.7,4.57615687866844
"AARONDOBSON","Aaron Dobson","WR","NE",189,86.6669641647409,40.03,99.9,52.7,99.8,NA,80.84,110.3,80.3,55.8,90.5,97.7,40.2,98.4,113.3,NA,94.5,0,0,0,0,86.5924556277056,86.6669641647409,132.55,25.1409234817754,15.15,5.90353080815926
"DONALDBROWN","Donald Brown","RB","SD",190,86.5802593376873,106.41,104.7,73.5,93.6,NA,85.66,77.5,67.4,86,77.8,91.4,91.5,28.8,49.9,NA,66.8,0,0,0,88.65,85.221053030303,86.5802593376873,159.5,20.9591296297142,24.2,6.52203525640834
"JAMESSTARKS","James Starks","RB","GB",191,86.4498128893564,73.78,109.6,85.5,85.8,NA,89.51,103,75.1,70.9,84.2,59.8,82,91.3,96.3,NA,54.18,0,0,0,82.5,86.4350281385282,86.4498128893564,151.1,15.3793946100433,11,4.5370823942332
"ERICEBRON","Eric Ebron","TE","DET",192,86.3497713140427,NA,91.7,106,78.2,NA,96.99,79.8,75.7,79.2,84.7,85,72.5,73.7,90,NA,77.4,0,0,0,0,86.2118398268398,86.3497713140427,137.774137931034,9.89332823622787,11.6854653359234,4.10465807856875
"MIKEWILLIAMS","Mike Williams","WR","BUF",193,85.9247832254298,109.32,79.1,87.8,98.6,NA,83.17,76.3,69.9,84.5,109.6,81.4,76,74.8,104,NA,70,0,0,0,0,87.4431385281385,85.9247832254298,166.1,13.8689862920558,21.1,5.52000607648949
"JACQUIZZRODGERS","Jacquizz Rodgers","RB","ATL",194,85.4054761709269,98.85,85.1,69.9,64.2,NA,76,116.7,89.3,79.1,88.6,73.7,54,124.4,79,NA,65.9,0,0,0,62.5,86.5916742424242,85.4054761709269,181.5,19.6134810808762,15.9,5.47444557386393
"MIKETOLBERT","Mike Tolbert","RB","CAR",195,84.5660767605723,82.79,103.8,82.9,94.6,NA,95.45,108.3,102.6,73,89,60.4,61.5,12,79.7,NA,63.6,0,0,0,64.8343277586098,83.2132305194805,84.5660767605723,160.15,24.942919760001,8.9,5.19027187406694
"GARRETTGRAHAM","Garrett Graham","TE","HOU",196,84.3701196454114,88.27,86.3,95.6,58,NA,84.31,112.4,90.7,83,79.6,76.8,97.6,69.6,91.2,NA,78.9,0,0,0,0,85.8815833333333,84.3701196454114,159.8,13.0356543186939,17.4,5.0313627463851
"DONNIEAVERY","Donnie Avery","WR","KC",197,84.323442268684,77.28,86.4,82.1,91.6,NA,82.57,84.2,78.1,93.7,74.7,63.6,87,81.7,94.6,NA,81.53,0,0,0,2,84.3612164502164,84.323442268684,184.3,8.12510436112182,10,3.75332121984133
"LANCEMOORE","Lance Moore","WR","PIT",198,79.7353113973767,62.34,82.1,91.5,82.2,NA,89.3,77.1,103.9,64.4,56.8,74.3,76,83.8,76,NA,66.5,0,0,0,0,79.6281471861472,79.7353113973767,187.9,12.6517124758441,32.6,6.68576539702559
"STEVEJOHNSON","Steve Johnson","WR","SF",199,78.867288275705,100.88,89.7,63.3,92.6,NA,74.54,74,56.6,74.2,84.4,77.5,81,76.4,80.4,NA,61.4,0,0,0,0,79.7666233766234,78.867288275705,166.9,12.1599996385194,23.3,5.60616364803863
"COBYFLEENER","Coby Fleener","TE","IND",200,78.3357077684857,113.28,86.3,59.4,80.7,NA,72.55,61.5,63.5,83,82.8,75.1,89.1,62.4,82.1,NA,70.7,0,0,0,0,81.296380952381,78.3357077684857,155.1,14.3194303749743,8.4,4.14972959657632
"CHRISGIVENS","Chris Givens","WR","STL",201,77.6740139928477,126.84,88.4,53.8,85.2,NA,75.49,114.1,76.1,50,38.4,63.7,63,136,102.7,NA,14.31,0,0,0,2.49992464823537,80.0109047619048,77.6740139928477,199.4,34.2559839643038,53.2,10.9791861066607
"ANDREROBERTS","Andre Roberts","WR","WAS",202,77.624744486031,18,81.5,82,88.8,NA,80.46,61.3,67.8,70,80.9,58.2,70,61.7,79.9,NA,85.35,0,0,0,1.35389605504679,74.8450108225108,77.624744486031,192.4,17.9351593583328,26.2,6.46403810620983
"MOHAMEDSANU","Mohamed Sanu","WR","CIN",203,76.0508003757662,37.36,92.3,95.8,79.7,NA,82.23,78.8,74.5,71.7,82.8,72.7,65.6,64.3,69.7,NA,63.31,0,0,0,4.4999905517221,75.4455194805195,76.0508003757662,151.4,14.2937242049912,12.1,4.55872774151873
