"name","pos","team","sourceName","player","playerID","season","positionRank","overallRank","pointsLo","pointsHi","vor","pick","risk","sdPts","sdPick","dropOffNorm","passAtt","passComp","passIncomp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recTgt","recYds","recTds","returnTds","twoPts","fumbles","dstYdsAllowed","dstSack","dstSafety","dstInt","dstFumlRec","dstFumlForce","dstBlk","dstTd","fg","fgAtt","fg2029","fg3039","fg4049","fg50","xp","points"
"ABOUTOURE","RB","IND","averageRobust","Abou Toure",6,2015,199,718,0,0,-205.956571296007,NA,NA,NA,NA,0.635135388291321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABOUTOURE","RB","IND","averageWeighted","Abou Toure",6,2015,199,718,0,0,-205.956571296007,NA,NA,NA,NA,0.636868354908211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PATRICKMURRAY","K","TB","yahoo","Patrick Murray",788,2015,43,718,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,24.6,3.8,8.3,7.9,5.6,30,0
"AHMADBRADS","RB","haw","average","Ahmad Brads",13,2015,200,719,0,0,-205.956571296007,NA,NA,NA,NA,0.636868354908211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AHMADBRADS","RB","haw","averageRobust","Ahmad Brads",13,2015,200,719,0,0,-205.956571296007,NA,NA,NA,NA,0.635135388291321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AHMADBRADS","RB","haw","averageWeighted","Ahmad Brads",13,2015,200,719,0,0,-205.956571296007,NA,NA,NA,NA,0.636868354908211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PHILADELPHIAEAGLES","DST","PHI","yahoo","Philadelphia Eagles",793,2015,24,719,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6161,48.1,0.5,16.4,10.6,19,0.5,4.4,NA,NA,NA,NA,NA,NA,NA,0
"AHMADBRADSHAW","RB","IND","average","Ahmad Bradshaw",14,2015,201,720,0,0,-205.956571296007,NA,NA,NA,NA,0.636868354908211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AHMADBRADSHAW","RB","IND","averageRobust","Ahmad Bradshaw",14,2015,201,720,0,0,-205.956571296007,NA,NA,NA,NA,0.635135388291321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AHMADBRADSHAW","RB","IND","averageWeighted","Ahmad Bradshaw",14,2015,201,720,0,0,-205.956571296007,NA,NA,NA,NA,0.636868354908211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PHILDAWSON","K","SF","yahoo","Phil Dawson",794,2015,44,720,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7,31,9.4,9,9.3,5.3,30.9,0
"BRANDONCOTTOM","RB","SEA","average","Brandon Cottom",108,2015,202,721,0,0,-205.956571296007,NA,NA,NA,NA,0.636868354908211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRANDONCOTTOM","RB","SEA","averageRobust","Brandon Cottom",108,2015,202,721,0,0,-205.956571296007,NA,NA,NA,NA,0.635135388291321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRANDONCOTTOM","RB","SEA","averageWeighted","Brandon Cottom",108,2015,202,721,0,0,-205.956571296007,NA,NA,NA,NA,0.636868354908211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PITTSBURGHSTEELERS","DST","PIT","yahoo","Pittsburgh Steelers",803,2015,25,721,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5550,36.9,0.5,9.8,7.2,18,0.1,4,NA,NA,NA,NA,NA,NA,NA,0
"BRANDONWEGHER","RB","CAR","average","Brandon Wegher",119,2015,203,722,0,0,-205.956571296007,NA,NA,NA,NA,0.636868354908211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRANDONWEGHER","RB","CAR","averageRobust","Brandon Wegher",119,2015,203,722,0,0,-205.956571296007,NA,NA,NA,NA,0.635135388291321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRANDONWEGHER","RB","CAR","averageWeighted","Brandon Wegher",119,2015,203,722,0,0,-205.956571296007,NA,NA,NA,NA,0.636868354908211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
