"name","name_ffc","pos","team_ffc","mean","sd","freq","mad","median"
"COLINKAEPERNICK","Colin
Kaepernick
","QB","SF",96.2098370488853,12.1772738329988,1,7.413,99
"TONYROMO","Tony
Romo
","QB","DAL",99.7520743776867,9.6385338189391,1,7.413,102
"DANNYWOODHEAD","Danny
Woodhead
","RB","SD",102.373188043587,11.0356346377069,1,11.8608,99
"RILEYCOOPER","Riley
Cooper
","WR","PHI",102.453763870839,10.9673551963554,1,7.413,105
"SANFRANCISCODEFENSED","SanFrancisco
Defense
D","DEF","SF",102.805358392482,8.44121747430648,1,4.4478,104
"JOSHGORDON","Josh
Gordon
","WR","CLE",104.779566130161,14.9245685291916,1,7.413,107
"RUEBENRANDLE","Rueben
Randle
","WR","NYG",105.129961011696,9.16414255491083,1,5.9304,105
"DWAYNEBOWE","Dwayne
Bowe
","WR","KC",105.982705188443,9.53538756823989,1,13.3434,106
"DEVONTAFREEMAN","Devonta
Freeman
","RB","ATL",106.262621213636,10.1682167011235,1,8.8956,107
"ERICEBRON","Eric
Ebron
","TE","DET",107.448275862069,2.57093067184676,0.0376886933919824,2.57093067184676,106
"SHONNGREENE","Shonn
Greene
","RB","TEN",109.145683453237,8.84522374792367,0.111166650004999,1.4826,108
"PHILIPRIVERS","Philip
Rivers
","QB","SD",109.185644306708,12.4624701893172,1,10.3782,116
"KNOWSHONMORENO","Knowshon
Moreno
","RB","MIA",110.802637411348,17.772964166454,0.902129361191643,11.8608,115
"ANDREBROWN","Andre
Brown
","RB","HOU",111,0,0.0400879736079176,0,111
"CAROLINADEFENSED","Carolina
Defense
D","DEF","CAR",111.23532940118,6.99870038632473,1,7.413,111
"TYLEREIFERT","Tyler
Eifert
","TE","CIN",112,0,0.0218934319704089,0,112
"ZACHERTZ","Zach
Ertz
","TE","PHI",112.644606618015,19.1296620163277,1,20.7564,112
"DENVERDEFENSED","Denver
Defense
D","DEF","DEN",112.768369489153,8.84478293535808,1,5.9304,114
"TAVONAUSTIN","Tavon
Austin
","WR","STL",112.962311306608,9.05138075862085,1,7.413,115
"RUSSELLWILSON","Russell
Wilson
","QB","SEA",113.608117564731,10.9977448600602,1,11.8608,114
"DEANGELOWILLIAMS","DeAngelo
Williams
","RB","CAR",114.912411018261,13.1819963022307,0.969009297210837,13.3434,116
"CHRISIVORY","Chris
Ivory
","RB","NYJ",115.215217391304,21.3466489167375,0.0919724082775168,7.413,133
"TRAVISKELCE","Travis
Kelce
","TE","KC",115.628683693517,21.0169045767528,0.0508847345796261,4.4478,127
"HAKEEMNICKS","Hakeem
Nicks
","WR","IND",115.751930005147,9.76094831112785,0.971208637408777,5.9304,116
"JUSTINHUNTER","Justin
Hunter
","WR","TEN",116.714685594322,12.5859322312889,1,10.3782,116
"MIKEEVANS","Mike
Evans
","WR","TB",117.002299310207,9.0245114189256,1,8.8956,118
"DRIARCHER","Dri
Archer
","RB","PIT",118,0,0.00909727081875437,0,118
"NEWENGLANDDEFENSED","NewEngland
Defense
D","DEF","NE",118.540037988603,21.1745176908159,1,7.413,124
"DARRENMCFADDEN","Darren
McFadden
","RB","OAK",120.094968553459,13.9181557729688,0.95371388583425,7.413,123
"ANDREWILLIAMS","Andre
Williams
","RB","NYG",120.496505621392,12.2932913864525,0.987003898830351,7.413,121
"HARRYDOUGLAS","Harry
Douglas
","WR","ATL",121,0,0.0159952014395681,0,121
"KENBRELLTHOMPKINS","Kenbrell
Thompkins
","WR","NE",121,0,0.0409877036888933,0,121
"DEANDREHOPKINS","DeAndre
Hopkins
","WR","HOU",121.656603019094,11.2096927564817,1,7.413,119
"HEATHMILLER","Heath
Miller
","TE","PIT",122.303759398496,8.24225386869226,0.13296011196641,11.8608,124
"ELIMANNING","Eli
Manning
","QB","NYG",122.436606291706,21.1363267280702,0.104868539438169,21.1363267280702,104
"STLOUISDEFENSED","St.Louis
Defense
D","DEF","STL",122.974438652767,9.80845362899401,0.997300809757073,8.8956,123
"TEDDYBRIDGEWATER","Teddy
Bridgewater
","QB","MIN",123,0,0.0317904628611417,0,123
"DANNYAMENDOLA","Danny
Amendola
","WR","NE",123.050384884535,9.60973419005864,1,7.413,121
"JONATHANSTEWART","Jonathan
Stewart
","RB","CAR",123.594390507012,12.7306152487583,0.0926721983404978,4.4478,128
"GREGJENNINGS","Greg
Jennings
","WR","MIN",124.366366366366,40.0436246788373,0.0332900129961012,40.0436246788373,150
"TREMASON","Tre
Mason
","RB","STL",125,0,0.00399880035989203,0,125
"CHARLESCLAY","Charles
Clay
","TE","MIA",125.065732758621,25.4308078397147,0.0927721683494952,1.4826,145
"AARONDOBSON","Aaron
Dobson
","WR","NE",126,0,0.0287913625912226,0,126
"MOHAMEDSANU","Mohamed
Sanu
","WR","CIN",126,0,0.0161951414575627,0,126
"ARIZONADEFENSED","Arizona
Defense
D","DEF","ARI",126.23690439436,9.50683188118221,0.971408577426772,11.8608,127
"ANDYDALTON","Andy
Dalton
","QB","CIN",126.259281678773,10.1203515799533,0.990902729181246,4.4478,126
"MARTELLUSBENNETT","Martellus
Bennett
","TE","CHI",126.776193633952,19.1471731344109,0.301509547135859,17.7912,132
"ANDREWHAWKINS","Andrew
Hawkins
","WR","CLE",127,0,0.0157952614215735,0,127
"BENROETHLISBERGER","Ben
Roethlisberger
","QB","PIT",127.057185941306,9.64672267617655,0.86184144756573,7.413,128
"ANQUANBOLDIN","Anquan
Boldin
","WR","SF",128.319977863863,16.7991097679795,0.903229031290613,22.239,128
"MARQISELEE","Marqise
Lee
","WR","JAC",128.645299145299,10.8290579978329,0.0233929821053684,19.2738,133
"MARKINGRAM","Mark
Ingram
","RB","NO",129.937935843794,10.9105893481216,0.573427971608517,10.3782,130
"LEGARRETTEBLOUNT","LeGarrette
Blount
","RB","PIT",130.088332907838,13.2027428977455,0.391582525242427,13.3434,123
"STEPHENGOSTKOWSKI","Stephen
Gostkowski
","K","NE",131.742277316805,10.9592945879147,1,2.9652,138
"JARRETTBOYKIN","Jarrett
Boykin
","WR","GB",131.76295133438,26.039808095883,0.636808957312806,8.8956,143
"JEREMYHILL","Jeremy
Hill
","RB","CIN",131.862352520558,15.9478815073436,0.838848345496351,19.2738,130
"MARKUSWHEATON","Markus
Wheaton
","WR","PIT",132.555244399185,19.1514012035255,0.392682195341398,4.4478,146
"ANTONIOGATES","Antonio
Gates
","TE","SD",132.664132379249,16.4880101975945,0.223532940117965,16.3086,137
"CINCINNATIDEFENSED","Cincinnati
Defense
D","DEF","CIN",132.66427680798,6.62386107387426,0.962111366590023,7.413,132
"BRANDONLAFELL","Brandon
LaFell
","WR","NE",133,0,0.00969709087273818,0,133
"COBYFLEENER","Coby
Fleener
","TE","IND",133,0,0.0233929821053684,0,133
"KNILEDAVIS","Knile
Davis
","RB","KC",133,0,0.0355893232030391,0,133
"LADARIUSGREEN","Ladarius
Green
","TE","SD",134.039548022599,16.2852564558739,0.247725682295311,20.7564,134
"MATTPRATER","Matt
Prater
","K","DEN",134.051284614616,11.9936858137683,1,1.4826,139
"CHRISTINEMICHAEL","Christine
Michael
","RB","SEA",134.479166666667,12.1303059786652,0.451064680595821,14.826,134
"HOUSTONDEFENSED","Houston
Defense
D","DEF","HOU",134.624215021351,3.78378141569637,0.795961211636509,2.9652,133
"AHMADBRADSHAW","Ahmad
Bradshaw
","RB","IND",134.905632411067,22.4769995670152,0.202339298210537,8.8956,143
"STEVESMITH","Steve
Smith
","WR","BAL",134.91801980198,12.5748161981164,0.252424272718185,10.3782,138
"JAMESWHITE","James
White
","RB","NE",135,0,0.00399880035989203,0,135
