"name","pos","sourceName","name_cbs","team_cbs","positionRank","overallRank","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","fumbles","dstYdsAllowed","dstSack","dstSafety","dstInt","dstFumlRec","dstFumlForce","dstTd","fg","fgAtt","xp","points"
"ALBERTWILSON","WR","cbs","Albert Wilson","KC",99,304,NA,NA,NA,NA,NA,NA,NA,NA,29.4,442,1.6,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45
"JEREMYKERLEY","WR","cbs","Jeremy Kerley","NYJ",100,305,NA,NA,NA,NA,NA,NA,NA,NA,33.4,389,1.9,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.8
"KAMARAIKEN","WR","cbs","Kamar Aiken","BAL",101,306,NA,NA,NA,NA,NA,NA,NA,NA,22.8,315,3.7,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.6
"JACQUIZZRODGERS","RB","cbs","Jacquizz Rodgers","CHI",67,307,NA,NA,NA,NA,NA,65,256,1.8,31.5,185,1.2,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.4
"ANDREROBERTS","WR","cbs","Andre Roberts","WAS",102,308,NA,NA,NA,NA,NA,NA,NA,NA,35.5,453,1.8,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.4
"BOBBYRAINEY","RB","cbs","Bobby Rainey","TB",68,309,NA,NA,NA,NA,NA,65,297,2.4,22.4,201,0.8,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.6
"JACEAMARO","TE","cbs","Jace Amaro","NYJ",41,310,NA,NA,NA,NA,NA,NA,NA,NA,39.6,382,2.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.6
"GARRETTGRAHAM","TE","cbs","Garrett Graham","HOU",42,311,NA,NA,NA,NA,NA,NA,NA,NA,33,365,2.6,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
"JACOBTAMME","TE","cbs","Jacob Tamme","ATL",43,312,NA,NA,NA,NA,NA,NA,NA,NA,39.7,397,2.3,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.8
"ERICEBRON","TE","cbs","Eric Ebron","DET",44,313,NA,NA,NA,NA,NA,NA,NA,NA,39.1,399,1.9,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.8
"TYLERLOCKETT","WR","cbs","Tyler Lockett","SEA",103,314,NA,NA,NA,NA,NA,NA,NA,NA,24,361,2.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.4
"DEXTERMCCLUSTER","RB","cbs","Dexter McCluster","TEN",69,315,NA,NA,NA,NA,NA,44.8,171,1.2,32.1,276,1.2,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.2
"MARQUESSWILSON","WR","cbs","Marquess Wilson","CHI",104,316,NA,NA,NA,NA,NA,NA,NA,NA,38.5,360,2.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.2
"JAVORIUSALLEN","RB","cbs","Javorius Allen","BAL",70,317,NA,NA,NA,NA,NA,62,294,2.6,12.1,98,0.5,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41
"DARRELYOUNG","RB","cbs","Darrel Young","WAS",71,318,NA,NA,NA,NA,NA,10.2,35.1,3.4,11.5,100,2.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.4
"CHRISJOHNSON","RB","cbs","Chris Johnson","ARZ",72,319,NA,NA,NA,NA,NA,83,299,2,13.3,107,1,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.2
"HAKEEMNICKS","WR","cbs","Hakeem Nicks","TEN",105,320,NA,NA,NA,NA,NA,NA,NA,NA,26.4,370,1.8,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.2
"SCOTTCHANDLER","TE","cbs","Scott Chandler","NE",45,321,NA,NA,NA,NA,NA,NA,NA,NA,29.6,344,2.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.2
"DEANTHONYTHOMAS","WR","cbs","De'Anthony Thomas","KC",106,322,NA,NA,NA,NA,NA,NA,NA,NA,30.6,290,1.7,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.8
"RYANMALLETT","QB","cbs","Ryan Mallett","HOU",36,323,112,64,740,4.2,4,9,32.6,0.2,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38
"JIMDRAY","TE","cbs","Jim Dray","CLE",46,324,NA,NA,NA,NA,NA,NA,NA,NA,27.6,355,1.8,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.8
"DERRICKCOLEMAN","RB","cbs","Derrick Coleman","SEA",73,325,NA,NA,NA,NA,NA,1.9,3.7,0,13,162,4.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.2
"DAVIDJOHNSON","RB","cbs","David Johnson","ARZ",74,326,NA,NA,NA,NA,NA,69,262,2.5,11.5,102,0.4,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37
"ROBERTTURBIN","RB","cbs","Robert Turbin","SEA",75,327,NA,NA,NA,NA,NA,50,241,2,10.1,102,1.1,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37
"STEVANRIDLEY","RB","cbs","Stevan Ridley","NYJ",76,328,NA,NA,NA,NA,NA,62,290,2.7,7.6,53,0.3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37
