"name","pos","sourceName","name_nfl","team_nfl","positionRank","overallRank","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","returnTds","twoPts","fumbles","points"
"DENNISPITTA","TE","nfl","Dennis Pitta","BAL",135,534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ALLENREISNER","TE","nfl","Allen Reisner","BAL",136,535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KONRADREULAND","TE","nfl","Konrad Reuland","BAL",137,536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ADRIENROBINSON","TE","nfl","Adrien Robinson","NYG",138,537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"DANTEROSARIO","TE","nfl","Dante Rosario","CHI",139,538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"WESLYESAUNDERS","TE","nfl","Weslye Saunders",NA,140,539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"TONYSCHEFFLER","TE","nfl","Tony Scheffler",NA,141,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ADAMSCHILTZ","TE","nfl","Adam Schiltz",NA,142,541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"VISANTHESHIANCOE","TE","nfl","Visanthe Shiancoe",NA,143,542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"LEESMITH","TE","nfl","Lee Smith","OAK",145,544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"MATTSPAETH","TE","nfl","Matt Spaeth","PIT",146,545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KORYSPERRY","TE","nfl","Kory Sperry",NA,147,546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CRAIGSTEVENS","TE","nfl","Craig Stevens","TEN",148,547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"LUKESTOCKER","TE","nfl","Luke Stocker","TB",149,548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"JAKESTONEBURNER","TE","nfl","Jake Stoneburner","MIA",150,549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
