<<<<<<< HEAD
"name","player","pos","team","overallRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","passAttMedian","passCompMedian","passIncompMedian","rushAttMedian","projectedPtsMean","projectedPtsMedian","pick","sdPts","sdPick","risk"
"PEYTONMANNING","Peyton Manning","QB","DEN",1,355.516994250951,343.64,359.76,360.28,375,361.5,362.408,347.92,368.98,342.1,348.2,345.52,370.2,287.76,349.98,NA,353.12,636.499970073758,426.25,205.810299976077,23.9999283127276,349.025333333333,355.516994250951,17.5407559244076,20.4382733330899,8.0565,4.99452399758606
"DREWBREES","Drew Brees","QB","NO",2,331.88891793308,333.92,336.6,340.42,333.6,340.08,336.11,327.92,337.42,321.92,315.5,315.8,341.5,326.8,340.22,NA,329.98,638.4,421.601508134058,213.85,24,332.030458333333,331.88891793308,22.1477452254775,8.66608204987918,6.7152,3.65255610240389
"AARONRODGERS","Aaron Rodgers","QB","GB",3,329.89539521565,306.04,345.46,351.26,351.62,343.42,345.58,308.74,339.2,326.84,331.8,319.96,346.9,301,340.08,NA,316.48,549.025,361.8,184.500033733592,48.5000099386076,330.424583333333,329.89539521565,22.2298370162984,17.2737909920809,6.6152,4.52531363884469
"ANDREWLUCK","Andrew Luck","QB","IND",4,302.099204952864,365.3,314.58,292.36,289.34,300.46,296.37,308,294.1,308.96,311.8,308.5,310,270.2,317,NA,285.48,594.229526387796,364.000025989072,230.335878359595,61.0000461575133,303.012208333333,302.099204952864,54.5732326767323,21.0281759958938,8.8065,5.13030221991009
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",5,292.586525046648,309.2,310.32,289.8,293.86,304.2,294.984,274.96,282.88,288.52,301.3,280.68,295,270.24,309.2,NA,287.68,509.425,312.55,195.402258213207,94.9999592320373,290.56375,292.586525046648,74.4095940405959,12.4894852659957,10.9478,4.46951143495532
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",6,292.550912078532,224.08,323.82,323.28,291.24,308.3,304.99,298.96,273.06,291.88,292.8,293.48,290.4,272.04,299.58,NA,291.92,639.199996398589,387.15,253.999969963407,31.7500485522183,290.083291666667,292.550912078532,49.5929207079292,23.7659981806742,8.6065,5.39101516491294
"NICKFOLES","Nick Foles","QB","PHI",7,291.596267003365,276.44,285.3,312.7,286.06,306.64,298.804,303.3,310.3,298.14,291.8,292.46,294,278.02,299.94,NA,294.54,523.989,332.684936659738,186.281272629141,63.0000056272531,291.738916666667,291.596267003365,70.0240475952405,10.7716999374684,10.6565,4.26409953757648
"CAMNEWTON","Cam Newton","QB","CAR",8,290.638189760018,269.02,298.94,286.1,296.3,296.62,294.972,300.36,305.2,301.62,287.4,290.56,301.9,275.06,308.14,NA,271.24,484.260646156682,293.999988706556,189.000060532256,111.000000580112,290.777166666667,290.638189760018,75.5544395560444,12.2337190420575,18.6543,5.21679335721144
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",9,287.949350910503,315.8,313.14,335.14,272.52,304.24,308.032,300.4,285.22,294.88,293.4,279.98,288.9,256.12,298.54,NA,268.74,469.00006330452,278.999960862171,184.141862031941,88.5000103163709,291.462416666667,287.949350910503,88.2261073892611,20.2323106342306,12.2565,5.39496104163554
"MATTRYAN","Matt Ryan","QB","ATL",10,282.019414535658,254.86,304.98,288.64,267.68,292.48,287.702,264.76,282.4,281.32,270.4,274.54,270.5,304.48,287.48,NA,288.92,633.047286344224,416.210143734332,216.25,23.5000166088491,280.299958333333,282.019414535658,67.3563893610639,14.2790882555408,10.7565,4.6338495669452
