"name","player","pos","projections","risk","inflatedCost","team","overallRank","pick","positionRank","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","cost_yahoo","costProjected_yahoo","costAvg_yahoo","costMax_yahoo","adp_yahoo","cost_espn","adp_espn","cost_fp","adp_fp","adp_ffc","adpSD_ffc","avgCost","bidUpTo","simulation"
"AARONDOBSON","Aaron Dobson","WR",86.6669641647409,7.30522584336118,1,"NE",189,138.9,73,40.03,99.9,52.7,99.8,NA,80.84,110.3,80.3,55.8,90.5,97.7,40.2,98.4,113.3,NA,94.5,86.5924556277056,86.6669641647409,-74.8084670341007,30.8,25.1409234817754,1,1,1,1,NA,0,170,2,194,NA,NA,1,1,4.98360662170834
"AARONMELLETTE","Aaron Mellette","WR",0,NA,1,"BAL",648,NA,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-161.475431198842,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"AARONMURRAY","Aaron Murray","QB",0,NA,1,"KC",648,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-368.486642824095,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"AARONRODGERS","Aaron Rodgers","QB",433.825315640381,4.80642193113772,47,"GB",3,26.3,3,356.36,424.46,421.26,432.02,407.42,420.2,371.54,412.4,392.24,403.2,374.56,420.9,354,400.08,NA,364.68,434.377416666667,433.825315640381,65.3386728162854,7.3,26.4463343035521,38.5,36,37.25,38.5,20.1,45.1,10.3,41,15,17.5,5.3,37.25,32,9.08386970792223
"ACESANDERS","Ace Sanders","WR",41.6490603622369,4.95062863039589,1,"JAC",290,NA,115,30.42,53.8,NA,49.4,NA,41.36,51.6,31.7,37.5,28.8,48,25.5,40.1,80.1,NA,21.27,42.782999000999,41.6490603622369,-119.826370836605,NA,15.5757522763544,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"ACLEONARD","A.C. Leonard","TE",1.85,NA,1,"MIN",599,NA,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,NA,NA,NA,NA,NA,1.85,1.85,-114.88252808119,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"ADAMTHIELEN","Adam Thielen","WR",6.005,3.00581709611318,1,"MIN",532,NA,210,NA,NA,NA,NA,NA,9.61,NA,NA,NA,NA,NA,2.4,NA,NA,NA,NA,6.005,6.005,-155.470431198842,NA,5.09823989235501,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,0
"ADRIANPETERSON","Adrian Peterson","RB",302.520274376837,4.39411893333117,74,"MIN",23,3,4,289.11,314.8,281.2,323,305.3,301.04,310.6,303.2,300.8,313.4,297.6,310,238.9,249,NA,226.7,303.121256410256,302.520274376837,92.1511834511475,1.1,29.4516498850638,62.7,56,59.35,62.7,3.2,60.3,2.3,57,3,2.7,1.1,59.35,63,9.10631230155214
"ADRIENROBINSON","Adrien Robinson","TE",50.954633976353,9.47302764494586,1,"NYG",262,223.7,40,58.7,61.3,66.4,NA,NA,59.31,58,50,41,8.4,42.4,30,74.9,NA,NA,11.89,49.5333666333666,50.954633976353,-65.7778941048371,53.7,20.9897753608029,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,1.38629436111989
"AHMADBRADSHAW","Ahmad Bradshaw","RB",99.2443582672995,6.3484127005846,1,"IND",164,139.8,52,65.2,106.2,84.2,65.5,NA,85.63,119.6,74.8,105,122.6,83.1,132,133.8,104.3,NA,87,99.9812532467533,99.2443582672995,-111.12473265839,23.8,23.240239792317,1,1,1,1,NA,1.2,145.5,3,178,129.2,13.8,1,1,0.693147180559945
"AJGREEN","A.J. Green","WR",213.2826563143,3.7011377763429,56,"CIN",51,14.2,4,246.05,211.8,212.8,217.6,214.6,212.76,222.7,209.3,212.9,217.8,219.4,215.8,159.2,216.3,NA,181.2,215.299010683761,213.2826563143,51.8072251154579,3.4,19.2219935292387,51.1,47,49.05,51.1,12.5,39.7,16.8,38,14,12.6,2.3,49.05,44,7.48493028328966
"AJJENKINS","A.J. Jenkins","WR",46.3651493162227,5.27931049814088,1,"KC",277,NA,109,45.56,64.6,37.3,49.6,NA,49.67,39.7,44.1,25.4,7.5,38.2,17,68.9,57.2,NA,55.83,43.8758441558442,46.3651493162227,-115.110281882619,NA,17.3464988391901,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"AJMCCARRON","A.J. McCarron","QB",0,NA,1,"CIN",648,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.78,NA,NA,4.756,0,-368.486642824095,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"ALANBONNER","Alan Bonner","WR",8.965,NA,1,"HOU",485,NA,192,NA,NA,NA,NA,NA,17.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.965,8.965,-152.510431198842,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"ALBERTWILSON","Albert Wilson","WR",11.95,4.43514614662903,1,"KC",454,NA,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,21,NA,NA,NA,NA,NA,11.95,11.95,-149.525431198842,NA,12.7986327394765,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,0
"ALDRICKROBINSON","Aldrick Robinson","WR",26.4330678649906,4.48934795617816,1,"WAS",366,NA,151,17.11,NA,28.1,NA,NA,29.2,40.3,NA,NA,NA,19.3,1.7,36.4,38.6,NA,NA,21.3661666666667,26.4330678649906,-135.042363333851,NA,13.0906405360035,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,0
"ALEXGREEN","Alex Green","RB",0,NA,1,"NYJ",648,NA,203,NA,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0,-210.36909092569,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"ALEXSMITH","Alex Smith","QB",326.840612946746,5.15773170905207,2,"KC",17,146.2,17,306.42,308.96,286.86,260.58,NA,292.194,314.84,324.66,292.18,298.8,293.36,305.6,263.12,307.74,NA,294.42,326.97822012987,326.840612946746,-41.6460298773491,17.6,17.8586603714762,1.3,1,1.15,1.3,124.5,1.1,146.7,6,150,NA,NA,1.15,1,4.23410650459726
"ALEXTANNEY","Alex Tanney","QB",0,NA,1,"TB",648,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-368.486642824095,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"ALFONSOSMITH","Alfonso Smith","RB",1.35,3.46125986978536,1,"SF",609,NA,184,21.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,NA,NA,NA,NA,NA,4.995,1.35,-209.01909092569,NA,7.55190042307233,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"ALFREDBLUE","Alfred Blue","RB",51.2599147010242,6.77481777564743,1,"HOU",260,184.5,82,NA,45,50.8,NA,NA,40.26,56.2,18,66.3,71.4,45.9,56.8,NA,NA,NA,28.41,48.7185555555556,51.2599147010242,-159.109176224666,33.4,16.3025874224513,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1,0
"ALFREDMORRIS","Alfred Morris","RB",240.436135828729,4.98380298784209,39,"WAS",41,21.8,13,295.02,260.8,241.9,244.3,NA,245.99,224.4,237.6,232.8,235.2,231,237.6,218,189.3,NA,172.6,242.02138961039,240.436135828729,30.0670449030389,6.8,28.9582160995861,33.3,36,34.65,36,27,29.8,26.1,31,24,23.6,3.9,34.65,30,8.95338147216724
"ALLENHURNS","Allen Hurns","WR",41.4289168918008,7.46487550968979,1,"JAC",291,NA,116,NA,NA,70.9,NA,NA,53.18,NA,NA,NA,10.9,NA,NA,NA,NA,NA,15.7,38.9533333333333,41.4289168918008,-120.046514307041,NA,29.1210508052165,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,1.09861228866811
"ALLENREISNER","Allen Reisner","TE",15.99,4.54277239285704,1,"MIN",420,NA,74,25.45,NA,NA,NA,NA,6.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.99,15.99,-100.74252808119,NA,13.3784603000495,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"ALLENROBINSON","Allen Robinson","WR",63.8000604866358,5.14568837833914,1,"JAC",227,178.2,90,NA,93.8,37.9,54.9,NA,45.41,82.5,35.5,77.6,76.6,73.3,47,83.2,60.3,NA,71.1,64.8016923076923,63.8000604866358,-97.6753707122058,16.6,18.9301555657525,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1,0.693147180559945
"ALSHONJEFFERY","Alshon Jeffery","WR",203.502101919026,3.4958863054318,42,"CHI",62,23.9,8,200.81,198.1,185,210.7,204.6,202.71,198.2,193.4,199.6,201.5,191,197.8,151.8,185.6,NA,173.71,198.76256517094,203.502101919026,42.0266707201848,5.4,14.6079224428129,38.5,36,37.25,38.5,22.2,27.7,28.2,30,25,24.7,3.6,37.25,36,8.24143968982973
"ALVESTERALEXANDER","Alvester Alexander","RB",10.2856210032537,2.51972443028811,1,NA,467,NA,143,NA,12.5,NA,NA,NA,9.39,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.415,10.2856210032537,-200.083469922436,NA,2.4794555854058,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,0
"ANDREBROWN","Andre Brown","RB",71.5469499608456,5.58641221348872,1,"HOU",210,165,68,77.04,NA,NA,45,NA,71.35,NA,NA,NA,NA,NA,NA,114.7,48.9,NA,NA,43.5895238095238,71.5469499608456,-138.822140964844,13.1,27.8832928471513,1,1,1,1,NA,1.1,170,0,NA,NA,NA,1,1,0
"ANDRECALDWELL","Andre Caldwell","WR",24.7679439757324,3.10443017341699,1,"DEN",375,180,156,12.11,64.8,NA,NA,NA,29.04,37.2,27,22,8.2,20.7,12.5,34.9,29.8,NA,NA,25.3153333333333,24.7679439757324,-136.707487223109,1,15.6755913909028,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"ANDREELLINGTON","Andre Ellington","RB",227.642662635789,4.8311536265629,41,"ARI",46,25.9,16,169.93,244,220.4,211.2,NA,229.02,264,246.3,213.9,223.1,219.7,235,180.1,190.6,NA,184.4,224.898652597403,227.642662635789,17.2735717100996,6.8,27.3134443106301,34.8,38,36.4,38,24.9,15,50.2,21,30,28.7,3.6,36.4,22,7.61628356158038
"ANDREHOLMES","Andre Holmes","WR",86.8988550354783,5.89329800474544,1,"OAK",187,167.5,72,NA,100.7,93.8,65.3,NA,62.18,94.9,75.7,76,110,67.3,80.2,55.8,102.4,NA,99,82.4777186147186,86.8988550354783,-74.5765761633633,24.3,17.735823663581,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1,1.79175946922805
"ANDREJOHNSON","Andre Johnson","WR",176.308043438517,4.10876251393737,22,"HOU",74,37.6,12,169.85,185.2,174.7,198.7,NA,179.93,196,161.1,171,170,167.8,188.3,136.4,181.2,NA,149.7,177.85155952381,176.308043438517,14.8326122396754,8.9,17.0071525354081,19.1,24,21.55,24,39.9,21.1,34.9,27,36,45.5,5.8,21.55,21,9.17232692977797
"ANDREROBERTS","Andre Roberts","WR",77.624744486031,6.45808714574828,1,"WAS",202,193.5,79,18,81.5,82,88.8,NA,80.46,61.3,67.8,70,80.9,58.2,70,61.7,79.9,NA,85.35,74.8450108225108,77.624744486031,-83.8506867128106,29.2,17.9351593583328,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1,1.09861228866811
"ANDREWHAWKINS","Andrew Hawkins","WR",100.249720918533,4.85774851297374,1,"CLE",161,153.2,60,NA,97.3,100.7,98.6,NA,100.38,91,92.5,91.7,113.8,96.1,82,90.6,105.2,NA,89.69,93.2252467532468,100.249720918533,-61.2257102803091,23.1,8.01946014552357,1,1,1,1,NA,1.2,152.1,1,239,NA,NA,1,1,0
"ANDREWILLIAMS","Andre Williams","RB",114.600229789193,7.95383507572804,4,"NYG",139,122.9,48,NA,189.2,141.1,84.4,NA,114.55,140.3,86.2,125.7,117.4,98.3,128.8,28.9,125,NA,88.52,116.817624708625,114.600229789193,-95.7688611364968,25.9,38.0157559103577,1.8,6,3.9,6,123.1,1.6,139.8,5,136,110.7,11.6,3.9,1,5.31811999384422
"ANDREWLUCK","Andrew Luck","QB",390.231346707124,4.82197390678145,14,"IND",4,56.4,4,405.71,370.78,341.36,337.94,341.46,346.53,355.8,344.5,364.36,367.8,362.7,368,310.2,362,NA,324.38,390.924875,390.231346707124,21.744703883029,10.7,22.5296199321186,5.7,16,10.85,16,55.9,15.6,37.8,23,40,48.2,8.5,10.85,7,9.53300341332321
"ANDREWQUARLESS","Andrew Quarless","TE",53.9754554385238,5.90902008940697,1,"GB",249,NA,38,83.68,71.7,42.2,58.3,NA,51.41,66.9,27.9,36.1,21.9,64.8,53,63.7,80.1,NA,20,55.276619047619,53.9754554385238,-62.7570726426663,NA,20.7390075345105,1,0,0,0,NA,0,170,0,NA,NA,NA,0,1,1.94591014905531
"ANDREWSZCZERBA","Andrew Szczerba","TE",3.83,NA,1,"ATL",564,NA,109,NA,NA,NA,NA,NA,3.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.83,3.83,-112.90252808119,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"ANDYDALTON","Andy Dalton","QB",326.366476729354,4.56095177437073,3,"CIN",18,125.4,18,302.06,312.06,305.62,295.98,NA,299.14,292.36,291.2,300.36,309.4,300.24,296,299,307.2,NA,278.4,331.156514069264,326.366476729354,-42.1201660947411,20,8.54543037065895,1.2,3,2.1,3,123.2,2.3,119.4,6,127,117.2,12.1,2.1,1,0
"ANDYTANNER","Andy Tanner","WR",3.23,NA,1,"NO",571,NA,220,NA,NA,NA,NA,NA,6.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.23,3.23,-158.245431198842,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"ANQUANBOLDIN","Anquan Boldin","WR",118.829412335126,4.30608087656071,4,"SF",131,115,45,126.76,113.3,119.2,136.3,NA,118.68,115,114.5,120.2,129.7,119.5,124.5,94.9,124.7,NA,96.88,122.481242424242,118.829412335126,-42.6460188637153,15.4,11.3250347984813,1.3,6,3.65,6,114.1,3.1,96.6,5,114,121.6,13.9,3.65,1,3.09104245335832
"ANTHONYALLEN","Anthony Allen","RB",0,NA,1,"BUF",648,NA,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-210.36909092569,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"ANTHONYARMSTRONG","Anthony Armstrong","WR",9.9,2.24324576613181,1,"CLE",474,NA,188,NA,NA,NA,NA,NA,12.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.75,7.78333333333333,9.9,-151.575431198842,NA,0.989949493661167,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,0
"ANTHONYDIXON","Anthony Dixon","RB",26.6965225576524,5.061519156339,1,"BUF",364,NA,107,-0.03,34.2,39.4,NA,NA,36.8,8.3,NA,32.2,5.5,16.8,1.9,NA,NA,NA,NA,19.4495555555556,26.6965225576524,-183.672568368037,NA,16.1731658757475,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,0
"ANTHONYFASANO","Anthony Fasano","TE",44.7499177606352,5.59163888376363,1,"KC",284,NA,45,72.77,63.2,50.8,NA,NA,44.58,70.2,51.9,24.2,23.3,24.8,10,42.3,45.4,NA,46,44.7208653846154,44.7499177606352,-71.9826103205549,NA,19.0291423604523,1,0,0,0,NA,0,170,1,NA,NA,NA,0,1,0
"ANTHONYMCCOY","Anthony McCoy","TE",24.5727009219905,4.14948634009432,1,"SEA",376,NA,65,37.66,NA,NA,NA,NA,16.35,NA,NA,NA,NA,20.7,NA,NA,NA,NA,NA,12.3116666666667,24.5727009219905,-92.1598271591996,NA,11.259663997355,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"ANTHONYSHERMAN","Anthony Sherman","RB",23.1951146899838,3.27317673290201,1,"KC",382,NA,112,32.1,24.8,20.3,NA,NA,22.55,NA,NA,16.1,12.1,12,NA,16.7,NA,NA,15.49,19.8025396825397,23.1951146899838,-187.173976235706,NA,6.53861797324175,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"ANTONESMITH","Antone Smith","RB",16.8827717078588,3.5408846819694,1,"ATL",413,NA,122,NA,5.5,19.5,NA,NA,9.53,16.2,NA,15.9,30.6,18.3,7.9,NA,NA,NA,NA,13.7144444444444,16.8827717078588,-193.486319217831,NA,7.9808725579171,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"ANTONIOANDREWS","Antonio Andrews","RB",0,NA,1,"TEN",648,NA,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-210.36909092569,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"ANTONIOBROWN","Antonio Brown","WR",204.054643681419,3.31493939603712,42,"PIT",61,23.8,7,183.23,205.3,191.7,213.6,206.5,206.19,201.4,208.8,197.9,198.2,192.2,207.4,172.7,188.9,NA,167.36,203.350038461538,204.054643681419,42.5792124825774,4.7,13.4991312948014,37.2,36,36.6,37.2,25.9,25.2,30.6,31,26,23.3,3.4,36.6,40,8.11671562481911
"ANTONIOGATES","Antonio Gates","TE",101.275133047731,4.45644204481683,2,"SD",157,154.9,14,88.77,103.1,120.6,95.2,NA,108.07,100.3,112.6,93,112.4,94.8,106.1,75.1,99.6,NA,78.7,101.513773809524,101.275133047731,-15.4573950334591,15.5,12.8250256731316,1.1,1,1.05,1.1,125.4,1.7,124.1,3,139,122,23.1,1.05,1,5.62401750618734
"ARIANFOSTER","Arian Foster","RB",255.166391572235,4.95752498554847,45,"HOU",37,22,10,244.16,258.4,237,239.5,NA,256.7,233,259.5,269.7,254,262.2,257.6,205.8,212.8,NA,192.2,251.928294372294,255.166391572235,44.7973006465451,11.2,23.3895304840379,43.5,36,39.75,43.5,19.3,43.4,12.9,43,17,22,4.3,39.75,39,8.78140190768238
"ARMANTIEDWARDS","Armanti Edwards","WR",-0.27,NA,1,NA,800,NA,280,-0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.27,-0.27,-161.745431198842,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"ARMONBINNS","Armon Binns","WR",6.675,NA,1,"MIA",522,NA,206,NA,NA,NA,NA,NA,13.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.675,6.675,-154.800431198842,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"ARMONDSMITH","Armond Smith","RB",0,NA,1,NA,648,NA,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-210.36909092569,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"ARRELIOUSBENN","Arrelious Benn","WR",17.1,6.43789810772466,1,"PHI",410,NA,170,-0.03,45.2,NA,NA,NA,34.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.84,17.1,-144.375431198842,NA,23.588294413402,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"ARTHURLYNCH","Arthur Lynch","TE",8.15373338754567,3.18856190345489,1,"MIA",500,NA,90,NA,NA,NA,NA,NA,16,NA,NA,6,NA,5,NA,NA,NA,NA,NA,6.75,8.15373338754567,-108.578794693644,NA,6.08276253029822,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,0
"ASAWATSON","Asa Watson","TE",0,NA,1,"NE",648,NA,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-116.73252808119,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"AUSTINCOLLIE","Austin Collie","WR",45.9,NA,1,NA,278,NA,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.9,NA,NA,45.9,45.9,-115.575431198842,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"AUSTINDAVIS","Austin Davis","QB",0,NA,1,"STL",648,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-368.486642824095,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"AUSTINPETTIS","Austin Pettis","WR",57.8743273319274,7.92058566765303,1,"STL",239,NA,93,101.51,62.6,71.5,NA,NA,42.09,73.3,9.3,9.9,NA,24,20,78.9,70.8,NA,NA,46.1709340659341,57.8743273319274,-103.601103866914,NA,31.5761518468376,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,3.73766961828337
"AUSTINSEFERIANJENKINS","Austin Seferian-Jenkins","TE",62.5997050420211,7.65529275126669,1,"TB",229,201.5,31,NA,82.9,41.9,70.3,NA,56.96,81.8,27.3,61.4,79.3,56.4,NA,36.1,68.9,NA,43.8,62.0851062271062,62.5997050420211,-54.132823039169,39.4,18.5820000065231,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1,1.94591014905531
"BEARPASCOE","Bear Pascoe","TE",13.5412160993829,3.25428822160313,1,"ATL",443,NA,80,17.48,NA,NA,NA,NA,18.4,10.3,NA,NA,NA,5,3.1,NA,NA,NA,14.59,10.1578571428571,13.5412160993829,-103.191311981807,NA,6.43685767021974,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"BENHARTSOCK","Ben Hartsock","TE",2.74,NA,1,NA,584,NA,117,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.74,2.74,-113.99252808119,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"BENJAMINWATSON","Ben Watson","TE",33.0597253331428,3.82224814413101,1,"NO",326,NA,57,26.76,NA,NA,NA,NA,35.06,41.6,44.7,25.5,19.7,25.6,25.5,47.7,NA,NA,32.2,33.0225,33.0597253331428,-83.6728027480473,NA,9.49669509765254,1,0,0,0,NA,0,170,1,NA,NA,NA,0,1,0
"BENJARVUSGREENELLIS","BenJarvus Green-Ellis","RB",53.7801605019508,6.68708909532981,1,"CIN",250,170.5,78,117.56,73.2,52.7,51.2,NA,54.71,66.6,36.5,48.6,11.9,76.5,71.4,25,31.8,NA,20.77,55.4304220779221,53.7801605019508,-156.588930423739,23.2,27.6101783668731,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"BENMALENA","Ben Malena","RB",0,NA,1,"DAL",648,NA,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-210.36909092569,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"BENNYCUNNINGHAM","Benny Cunningham","RB",48.8999339717149,7.52390633875891,1,"STL",269,190.8,86,NA,44.9,22,57.2,NA,37.23,71.6,62.5,52.3,39.1,27.9,53.5,12.2,80.6,NA,59.1,50.4332307692308,48.8999339717149,-161.469156953975,37.3,19.688979215899,1,1,1,1,NA,0,170,2,NA,NA,NA,1,1,0
"BENOBOMANU","Ben Obomanu","WR",0,NA,1,NA,648,NA,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-161.475431198842,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"BENROETHLISBERGER","Ben Roethlisberger","QB",334.118475792093,5.46891451638577,6,"PIT",16,106.1,16,245.12,330.04,321.14,287.96,NA,309.562,311.24,304.08,294.52,307.2,289.5,309,313.94,309.96,NA,268.14,334.579427705628,334.118475792093,-34.3681670320028,16.9,22.0524860690167,1.4,7,4.2,7,117.6,1.7,122.5,6,122,124.3,11,4.2,1,5.56068163101553
"BENTATE","Ben Tate","RB",195.211163031462,6.43688213335257,8,"CLE",67,55.9,27,128.98,216.7,187.2,233.1,NA,202.87,231.2,188.2,186.1,198,195.9,183.5,167.8,156.9,NA,122.3,192.400915584416,195.211163031462,-15.1579278942272,16.4,33.082808166083,2.5,12,7.25,12,102.6,19.7,41.1,23,67,59.9,8.4,7.25,4,9.50338305067006
"BERNARDPIERCE","Bernard Pierce","RB",146.667046634545,5.83837039600252,5,"BAL",100,95,36,83.05,177.6,144.7,115.4,NA,142.07,155.4,123.7,146.9,157.6,143.9,133.8,136.8,132.5,NA,113.9,143.447102813853,146.667046634545,-63.7020442911451,19.6,22.7899101927455,2.3,7,4.65,7,121.2,2,124.9,7,115,84.4,10.2,4.65,1,4.11087386417331
"BERNARDSCOTT","Bernard Scott","RB",0,NA,1,NA,648,NA,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-210.36909092569,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"BILALPOWELL","Bilal Powell","RB",59.4643473727983,5.62704447116625,1,"NYJ",234,179.8,74,16.54,76.4,56.7,58.3,NA,67.21,97.3,78.1,44.6,23.6,45.2,38.5,11.5,45.6,NA,53.5,55.0857056277056,59.4643473727983,-150.904743552891,16.5,24.2368143941819,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1,0
"BISHOPSANKEY","Bishop Sankey","RB",210.24990016395,7.73210934867057,19,"TEN",56,61.3,21,NA,252.3,219.4,172,NA,229.33,244.9,249.6,184,193.8,213,214,160.9,168.6,NA,131.4,211.791514152514,210.24990016395,-0.119190761739503,24.2,37.6688398057027,9.5,23,16.25,23,75.4,8.3,82.7,12,55,50.3,7.9,16.25,10,9.59879495125094
"BJCOLEMAN","B.J. Coleman","QB",0,NA,1,"GB",648,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-368.486642824095,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"BJDANIELS","B.J. Daniels","QB",0,NA,1,"SEA",648,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-368.486642824095,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"BLAINEGABBERT","Blaine Gabbert","QB",8.96206166556412,4.98577838086127,1,"SF",486,NA,59,2.77,NA,NA,NA,NA,9.48,1.56,NA,15.34,1.4,7.76,NA,NA,45.9,NA,NA,10.3093968253968,8.96206166556412,-359.524581158531,NA,15.765118669603,1,0,0,0,NA,0,170,1,NA,NA,NA,0,1,0
"BLAKEBORTLES","Blake Bortles","QB",100.16420649796,8.58662906222623,1,"JAC",162,234,34,NA,56.66,161.76,62.66,NA,90.75,59.1,75.46,69.2,148.5,105.22,122.5,NA,57.96,NA,56.15,102.471036630037,100.16420649796,-268.322436326135,32,37.5063205178524,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"BOBBYRAINEY","Bobby Rainey","RB",60.038714447293,6.46544262341522,1,"TB",231,186.6,73,33.09,50.7,87.5,56.1,NA,53.82,93.8,39.2,56,43.5,53.3,64.7,28.5,69.1,NA,60.6,59.1556006493507,60.038714447293,-150.330376478397,28.8,18.4949174634012,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
