"name","player","pos","projections","risk","inflatedCost","team","overallRank","pick","positionRank","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","cost_yahoo","costProjected_yahoo","costAvg_yahoo","costMax_yahoo","adp_yahoo","cost_espn","adp_espn","cost_fp","adp_fp","adp_ffc","adpSD_ffc","avgCost","bidUpTo","simulation"
"TYLERTHIGPEN","Tyler Thigpen","QB",2.425,NA,1,"BUF",591,NA,69,4.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.425,2.425,-366.061642824095,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"TYLERWILSON","Tyler Wilson","QB",0,NA,1,"TEN",648,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-368.486642824095,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"TYRODTAYLOR","Tyrod Taylor","QB",1.68232709741863,2.93876395211319,1,"BAL",604,NA,71,1.37,NA,NA,NA,NA,6.78,14.46,NA,3.76,5.8,10.6,NA,NA,NA,NA,NA,6.88238095238095,1.68232709741863,-366.804315726677,NA,4.73699658714957,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"VANCEMCDONALD","Vance McDonald","TE",17.3499349025812,4.55042948265073,1,"SF",407,NA,71,1.1,47.3,NA,NA,NA,23.19,12.4,10.2,25.1,4.8,16.9,5.5,NA,NA,NA,14.72,16.293,17.3499349025812,-99.3825931786089,NA,13.4197122423198,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"VERNONDAVIS","Vernon Davis","TE",132.226115822626,5.80219524419574,17,"SF",115,70.8,6,70.44,137.8,163.7,160.7,160.7,149.45,162.5,137.3,118.5,128.5,133.3,119.5,87.4,132.9,NA,101.2,133.07671474359,132.226115822626,15.4935877414357,14.9,28.0460513645479,11.4,21,16.2,21,47.5,13.3,45.3,14,47,53.1,8.4,16.2,3,8.98544528762317
"VICKBALLARD","Vick Ballard","RB",-1.71,2.91919109305161,1,"IND",808,NA,245,43.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.5,NA,NA,NA,11.7916666666667,-1.71,-212.07909092569,NA,4.63154941677188,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"VICTORCRUZ","Victor Cruz","WR",171.07544846513,3.96774058390704,32,"NYG",79,39,14,186.93,168.9,157.3,162.2,NA,165.82,195.5,183.6,170,159.9,169.6,192.1,156,178.2,NA,150.8,173.747882034632,171.07544846513,9.60001726628838,10.1,14.0461522829579,26.3,35,30.65,35,34.2,14.7,47.6,21,41,38,5,30.65,19,5.78382518232974
"VINCENTBROWN","Vincent Brown","WR",37.1499645812802,5.80006355173468,1,"SD",309,NA,123,23.24,62.4,46.3,36.6,NA,36.35,31.5,18.7,36.8,17.4,17.9,47,76.5,65.8,NA,9.46,38.215,37.1499645812802,-124.325466617561,NA,20.1520131380585,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"VINCENTJACKSON","Vincent Jackson","WR",180.995841237383,5.5047917985505,31,"TB",70,34.3,11,307.22,184.5,176.2,187.5,NA,181.15,193.1,175.1,179.5,171.7,179.8,183,158.1,182.2,NA,152.4,190.764525974026,180.995841237383,19.5204100385419,5.3,36.3736750976567,29.4,30,29.7,30,34.8,19.4,38.8,25,32,34.2,4,29.7,27,9.74735991982465
"VINCEYOUNG","Vince Young","QB",0,NA,1,"CLE",648,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-368.486642824095,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"VIRGILGREEN","Virgil Green","TE",14.6998802290695,3.33497773751639,1,"DEN",430,NA,77,NA,NA,NA,NA,NA,21.95,7.6,NA,NA,2.6,14,13.5,NA,NA,NA,17.2,11.4880952380952,14.6998802290695,-102.032647852121,NA,6.87156580894534,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
