"name","player","pos","team","overallRank","pick","positionRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","risk","nextBestAvg","dropOff"
"LEVEONBELL","Le'Veon Bell","RB","PIT",19,27.8549224884236,9,256.674758772408,274.52,259.2,241.4,263.7,264,253.82,246.9,260.5,241.5,247.9,255.7,258.4,210.2,200.6,NA,182.3,255.126224358974,256.674758772408,45.9842836209214,7.3152,26.094642982439,5.2175013438501,254.206087065007,2.46867170740057
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",20,16.2582645460036,6,208.337116169388,218.43,209.3,217,214,212.6,209.81,226.6,195.6,202.3,209,198,214,167.9,202,NA,191,210.422870726496,208.337116169388,45.0659324087351,2.0913,14.101386861886,3.35651326234449,203.550112073033,4.78700409635502
"DOUGMARTIN","Doug Martin","RB","TB",21,21.0674753372257,10,254.503703238205,305.11,278.7,246.9,272.6,NA,261.12,258.4,256.6,227.1,236.5,228.1,258,219,200.2,NA,184.5,255.400537878788,254.503703238205,43.8132280867189,7.1565,31.9593906215544,5.82134670003796,248.362075008766,6.14162822943896
"ARIANFOSTER","Arian Foster","RB","HOU",22,25.7585464062815,11,253.908470891809,244.16,258.4,234,239.5,NA,245.12,237,259.5,269.7,254,262.2,257.6,209.1,208.6,NA,192.2,251.116913419913,253.908470891809,43.2179957403229,6.6413,23.0469603726301,4.81835002380115,241.232199115272,12.6762717765377
"ROBGRONKOWSKI","Rob Gronkowski","TE","NE",23,32.3654117173344,3,159.741095542349,158.42,176.4,177.7,152.6,152.6,164.77,213.1,140.1,182.6,160,141.9,170,97.7,149.4,NA,164.3,162.632458333333,159.741095542349,42.9621878131567,11.1478,25.1892561564308,5.55402438782412,138.429168829427,21.3119267129219
"ANTONIOBROWN","Antonio Brown","WR","PIT",24,20.764384940608,7,203.598223296329,183.23,205.3,191.7,213.6,206.5,206.19,201.4,208.8,197.9,198.2,192.2,207.4,168.1,188.9,NA,174.33,203.517121794872,203.598223296329,40.3270395356757,3.8826,13.1887950278149,3.46191216137844,203.122495061933,0.47572823439549
"ALSHONJEFFERY","Alshon Jeffery","WR","CHI",25,21.4220354338635,8,203.502000849738,200.81,198.1,185,210.7,204.6,202.71,198.2,193.4,199.6,201.5,191,197.8,140.9,185.6,NA,173.71,198.07881517094,203.502000849738,40.2308170890844,4.1326,16.894305549504,3.88296645746805,195.51549756003,7.9865032897074
"JORDYNELSON","Jordy Nelson","WR","GB",26,18.2745419770485,9,202.742989274129,204.46,202.8,207.4,205,200.7,201.76,202.6,191.5,206.6,199.8,197.3,213,186.4,190,NA,167.9,201.62544017094,202.742989274129,39.4718055134759,3.7326,10.9894558988323,3.21182047862976,185.523691967418,17.219297306711
"GIOVANIBERNARD","Giovani Bernard","RB","CIN",27,18.5029192671633,12,242.815679125724,206.13,287.7,246.8,234.9,253.3,254.37,211.6,250.2,251.1,266,253.9,269,198.7,212.1,NA,173.2,246.086413461538,242.815679125724,32.125203974237,6.1065,31.0580069424632,5.60729369428644,239.013096682833,3.8025824428903
"ALFREDMORRIS","Alfred Morris","RB","WAS",28,29.5651298570566,13,239.64871910482,295.02,260.8,236,244.3,NA,242.42,224.4,237.6,232.8,235.2,231,237.6,235.5,189.3,NA,172.3,242.357012987013,239.64871910482,28.9582439533334,5.3239,28.5005202960026,5.24784400985101,233.396323228589,6.25239587623079
"ZACSTACY","Zac Stacy","RB","STL",29,27.7395309039662,14,238.377474260847,215.81,268.9,237.1,246.8,NA,252.34,247.4,267.9,223.5,230,230.2,233.5,178.7,185.4,NA,184.8,239.203630952381,238.377474260847,27.68699910936,6.0652,29.0644378167615,5.39128361121977,227.539221171744,10.8382530891022
"ANDREWLUCK","Andrew Luck","QB","IND",30,55.8815079524864,4,393.520654466188,405.71,370.78,357.32,337.94,341.46,354.518,355.8,360.5,364.36,367.8,362.7,368,340.88,362,NA,328.08,396.282041666667,393.520654466188,25.8847090957557,8.6065,18.1225959004616,4.51806310225985,380.834120959028,12.6865335071598
"RANDALLCOBB","Randall Cobb","WR","GB",31,26.4211999194685,10,188.288005845931,248.79,187,172.1,203,194.4,191.36,181.8,187.7,196.1,182.3,188.1,190.5,141,179,NA,161.26,193.721436965812,188.288005845931,25.0168220852782,4.2239,22.925653275212,4.53268646901216,180.48410374764,7.80390209829125
