"name","name_ffc","pos","team_ffc","mean","sd","freq","mad","median"
"CLEVELANDBROWNS","Cleveland ","DEF","CLE",171,0,0.0196078431372549,0,171
"DALLASCOWBOYS","Dallas ","DEF","DAL",171,0,0.0196078431372549,0,171
"JAVORIUSALLEN","Javorius Allen","RB","BAL",171,0,0.0196078431372549,0,171
"SHAUNSUISHAM","Shaun Suisham","K","PIT",171,0,0.0130718954248366,0,171
"DANCARPENTER","Dan Carpenter","K","BUF",172.8,1.03279555898864,0.0326797385620915,1.03279555898864,172
"TERRANCEWEST","Terrance West","RB","CLE",173,0,0.0130718954248366,0,173
"CINCINNATIBENGALS","Cincinnati ","DEF","CIN",174,0,0.0130718954248366,0,174
"JEFFJANIS","Jeff Janis","WR","GB",174.111111111111,8.48586987383176,0.294117647058824,8.48586987383176,176
"GARRETTHARTLEY","Garrett Hartley","K","NO",176,3.59486813709167,0.0457516339869281,3.59486813709167,173
"DOUGBALDWIN","Doug Baldwin","WR","SEA",176.625,2.24722050542442,0.0522875816993464,2.9652,177
"TYLERLOCKETT","Tyler Lockett","WR","SEA",176.93023255814,0.256248853055389,0.281045751633987,0.256248853055389,177
"NICKFOLES","Nick Foles","QB","STL",177.75,1.34164078649987,0.0522875816993464,1.34164078649987,177
"THEORIDDICK","Theo Riddick","RB","DET",179,0,0.0130718954248366,0,179
"JAYAJAYI","Jay Ajayi","RB","MIA",180,0,0.0130718954248366,0,180
NA,NA,NA,NA,180,0,0.0261437908496732,0,180
