"name","player","pos","team","overallRank","pick","positionRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","risk","nextBestAvg","dropOff"
"LANCEDUNBAR","Lance Dunbar","RB","DAL",267,150.1,56,71.1504672343404,-0.4,82.5,70.8,48.6,NA,74.31,74.5,93,75.2,74,49.8,57.5,79.9,103.7,NA,88.9,70.0994761904762,71.1504672343404,-83.2245752021128,21.6,25.317753109774,7.21642544097579,70.0993194174865,1.05114781685393
"ALLENREISNER","Allen Reisner","TE","MIN",268,NA,77,13.805,21.98,NA,NA,NA,NA,5.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.805,13.805,-83.4770757637192,NA,11.5611958724001,4.55257563912108,13.1687297324142,0.636270267585767
"SANTONIOHOLMES","Santonio Holmes","WR","CHI",269,NA,110,39.0895566689783,63.32,NA,45.7,71.6,NA,40.51,18.4,22.5,20,38,20,18,54.5,63,NA,26.1,39.5047252747253,39.0895566689783,-83.5937153959254,NA,19.4560279367841,6.39777350020519,37.8869069034863,1.20264976549197
"MICHAELHOOMANAWANUI","Michael Hoomanawanui","TE","NE",270,NA,78,13.4648406214976,13.1,NA,NA,NA,NA,16.96,19.1,24.5,5.8,3,12.2,1,NA,NA,NA,NA,11.92,13.4648406214976,-83.8172351422216,NA,8.21963806989091,3.77157925318214,12.8362419702614,0.628598651236182
"JAMESSTARKS","James Starks","RB","GB",271,161.2,57,70.5238670000096,59.7,90.6,63.1,65.2,NA,70.13,80.6,55.9,55.3,66,46.8,64,83.7,96.3,NA,52.31,67.6443333333333,70.5238670000096,-83.8511754364436,13.95,14.7936971283474,5.12901256871791,69.2848608889506,1.23900611105897
"GREGLITTLE","Greg Little","WR","OAK",272,NA,111,38.5501796094507,25.42,67.4,NA,NA,NA,49.61,NA,NA,34,15.5,23.4,12.5,43.1,78.1,NA,NA,38.7491111111111,38.5501796094507,-84.133092455453,NA,22.8352723021012,7.18757807414836,37.0618973946105,1.48828221484025
"DANIELFELLS","Daniel Fells","TE","NYG",273,NA,79,12.8726188433309,5.98,NA,NA,NA,NA,4.75,0.4,NA,9.7,20,14,18,NA,NA,NA,11.89,10.5775,12.8726188433309,-84.4094569203883,NA,6.72692033124053,3.42269791459284,12.6715375891201,0.201081254210726
"VIRGILGREEN","Virgil Green","TE","DEN",274,NA,80,12.799865097192,NA,NA,NA,NA,NA,19.55,5.6,NA,NA,2,12.6,11.5,NA,NA,NA,17.4,9.95,12.799865097192,-84.4822106665272,NA,6.72104282583192,3.42132421084335,12.4159533821176,0.383911715074412
"JAMESWHITE","James White","RB","NE",275,149.9,58,69.6747718349633,NA,80.5,52.6,41.9,NA,59.41,59.3,55.5,53.9,98,45.7,79.5,NA,94.5,NA,67.59,66.75,69.6747718349633,-84.7002706014899,20.7,18.4579034562433,6.31388631758052,67.9838583370816,1.6909134978817
"JAMESHANNA","James Hanna","TE","DAL",276,NA,81,12.5432100810483,25.72,NA,NA,NA,NA,16.7,7.5,NA,7.9,1.5,11.9,3,NA,NA,NA,NA,10.5228571428571,12.5432100810483,-84.7388656826709,NA,8.41609908505858,3.81749656238105,11.6943483415934,0.848861739454875
"RHETTELLISON","Rhett Ellison","TE","MIN",277,NA,82,12.2886966831868,NA,NA,NA,NA,NA,18,8.3,NA,5.2,2,12.2,2,NA,NA,NA,16.8,7.7625,12.2886966831868,-84.9933790805323,NA,6.64189445149213,3.40282547523389,10.8933028272596,1.39539385592725
"ROBERTMEACHEM","Robert Meachem","WR","NO",278,NA,112,37.2236341975219,NA,59.1,NA,NA,NA,34.5,NA,NA,15.4,NA,5.3,25,67.1,47,NA,NA,28.1746031746032,37.2236341975219,-85.4596378673818,NA,22.7729371550239,7.1730089637329,36.8815683682831,0.342065829238784
"ROYHELU","Roy Helu","RB","WAS",279,174.6,59,68.894949942938,35.26,79.2,59.6,73.7,NA,67.04,83.5,57.3,52.6,66.5,62.9,73,81.2,84.9,NA,72.9,68.4081428571429,68.894949942938,-85.4800924935152,17.1,13.671778263237,5.35101676578055,66.5798430028223,2.31510694011567
"DENARDROBINSON","Denard Robinson","WR","JAC",280,206.5,113,36.900160591699,9,60.9,42.4,23.3,NA,48.85,3.4,72,25.5,25,18.5,12,154.4,28.1,NA,27.5,40.2250549450549,36.900160591699,-85.7831114732047,7.5,38.4158243850996,7.16648016860699,36.4837994472814,0.416361144417571
"CHARLESJOHNSON","Charles Johnson","WR","CLE",281,NA,114,36.8629761448673,NA,NA,40.1,NA,NA,21.24,NA,16.4,41.9,39.5,NA,28.5,NA,NA,NA,47,34.5643650793651,36.8629761448673,-85.8202959200364,NA,11.5476173588609,4.54940203847514,36.0879072757224,0.775068869144874
