"name","pos","sourceName","name_yahoo","team_yahoo","positionRank","overallRank","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recTgt","recYds","recTds","returnTds","twoPts","fumbles","dstSack","dstSafety","dstInt","dstFumlRec","dstBlk","dstTd","fg","fg2029","fg3039","fg4049","fg50","points"
"EDDIELACY","RB","yahoo","Eddie Lacy","GB",2,28,0,0,0,286,1268,9.1,43,55.5,303,2.3,0,0.3,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223.34
"ANTONIOBROWN","WR","yahoo","Antonio Brown","PIT",1,29,0,0,0,4.5,29.6,0.1,116,171,1529,9.4,1.1,0.3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218.75
"NICKFOLES","QB","yahoo","Nick Foles","STL",27,30,3495,18.4,11.8,34.1,153,1,0,0,0,0,0,0.5,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.76
"CJANDERSON","RB","yahoo","C.J. Anderson","DEN",3,31,0,0,0,266,1156,9.1,46.7,58.1,399,1.4,0,0.3,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216.96
"JAMAALCHARLES","RB","yahoo","Jamaal Charles","KC",4,32,0,0,0,236,1085,7.7,53,69.4,459,3.1,0,0.3,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214.03
"MARSHAWNLYNCH","RB","yahoo","Marshawn Lynch","SEA",5,33,0,0,0,281,1291,8.4,29.7,37.2,235,1.6,0,0.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209.67
"LEVEONBELL","RB","yahoo","Le'Veon Bell","PIT",6,34,0,0,0,251,1079,5.7,61.7,79,497,2.8,0,0.2,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207.24
"LESEANMCCOY","RB","yahoo","LeSean McCoy","BUF",7,35,0,0,0,301,1350,7.2,35.8,43.9,253,1.2,0,0.2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206.9
"JEREMYHILL","RB","yahoo","Jeremy Hill","CIN",8,36,0,0,0,282,1298,10.2,22.9,28.5,174,0.6,0,0.3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206.43
"MATTFORTE","RB","yahoo","Matt Forte","CHI",9,37,0,0,0,242,1029,5.2,64,77.6,590,2.4,0,0.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205.7
"TYRODTAYLOR","QB","yahoo","Tyrod Taylor","BUF",28,38,2660,15.6,14.8,70.1,351,2.2,0,0,0,0,0,0.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.27
"DEMARCOMURRAY","RB","yahoo","DeMarco Murray","PHI",10,39,0,0,0,241,1113,10.2,25.1,31.2,194,1,0,0.3,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.86
"JULIOJONES","WR","yahoo","Julio Jones","ATL",2,40,0,0,0,1.9,12.7,0.1,108,162,1432,8.6,0,0.2,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.83
"DEMARYIUSTHOMAS","WR","yahoo","Demaryius Thomas","DEN",3,41,0,0,0,0,0,0,100,163,1277,11.2,0,0.3,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.83
"CALVINJOHNSON","WR","yahoo","Calvin Johnson","DET",4,42,0,0,0,0,0,0,89.5,150,1321,10.1,0,0.3,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192.78
"DEZBRYANT","WR","yahoo","Dez Bryant","DAL",5,43,0,0,0,0,0,0,87.2,139,1327,10.1,0,0.3,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192.43
"ODELLBECKHAM","WR","yahoo","Odell Beckham Jr.","NYG",6,44,0,0,0,8.4,55.1,0.2,101,157,1354,8.3,0,0.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.4
"LAMARMILLER","RB","yahoo","Lamar Miller","MIA",11,45,0,0,0,254,1143,6.5,39.3,49.3,308,1.5,0,0.2,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190.94
