"name","pos","sourceName","name_espn","team_espn","positionRank","overallRank","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","points"
"FRANKGORE","RB","espn","Frank Gore","IND",15,53,0,0,0,0,0,240,986,6,35,281,2,172.5
"ARIANFOSTER","RB","espn","Arian Foster","HOU",16,54,0,0,0,0,0,218,994,5,42,332,2,172.4
"TODDGURLEY","RB","espn","Todd Gurley","STL",17,55,0,0,0,0,0,238,1088,7,23,184,1,170.4
"ALFREDMORRIS","RB","espn","Alfred Morris","WAS",18,56,0,0,0,0,0,250,1064,7,22,168,1,168.5
"ROBGRONKOWSKI","TE","espn","Rob Gronkowski","NE",1,57,0,0,0,0,0,0,0,0,88,1089,10,168
"TYHILTON","WR","espn","T.Y. Hilton","IND",10,58,0,0,0,0,0,4,26,0,86,1195,8,167.2
"LATAVIUSMURRAY","RB","espn","Latavius Murray","OAK",19,59,0,0,0,0,0,235,1025,6,30,228,1,164.8
"JONATHANSTEWART","RB","espn","Jonathan Stewart","CAR",20,60,0,0,0,0,0,247,1133,5,28,194,1,164.4
"MELVINGORDON","RB","espn","Melvin Gordon","SD",21,61,0,0,0,0,0,260,1148,5,22,171,1,163.3
"JOSHMCCOWN","QB","espn","Josh McCown","CLE",29,62,459,267,2998,13,14,42,204,2,0,0,0,162.1
"MIKEEVANS","WR","espn","Mike Evans","TB",11,63,0,0,0,0,0,0,0,0,81,1207,7,160
"BRANDINCOOKS","WR","espn","Brandin Cooks","NO",12,64,0,0,0,0,0,12,82,0,83,1146,6,158.8
"EMMANUELSANDERS","WR","espn","Emmanuel Sanders","DEN",13,65,0,0,0,0,0,9,60,0,78,1090,7,155
"TJYELDON","RB","espn","T.J. Yeldon","JAC",22,66,0,0,0,0,0,219,932,6,28,224,1,153.4
"JOIQUEBELL","RB","espn","Joique Bell","DET",23,67,0,0,0,0,0,211,807,7,32,250,1,149.5
"CHRISIVORY","RB","espn","Chris Ivory","NYJ",24,68,0,0,0,0,0,221,966,5,26,186,1,148.4
"JORDANMATTHEWS","WR","espn","Jordan Matthews","PHI",14,69,0,0,0,0,0,0,0,0,80,990,8,147
"JULIANEDELMAN","WR","espn","Julian Edelman","NE",15,70,0,0,0,0,0,9,59,0,98,1000,7,146.4
"RYANFITZPATRICK","QB","espn","Ryan Fitzpatrick","NYJ",30,71,337,210,2409,14,11,38,159,1,0,0,0,145.9
"DEANDREHOPKINS","WR","espn","DeAndre Hopkins","HOU",16,72,0,0,0,0,0,0,0,0,83,1175,5,145.1
"ANDREELLINGTON","RB","espn","Andre Ellington","ARZ",25,73,0,0,0,0,0,172,676,4,48,438,2,144.3
"STEVENHAUSCHKA","K","espn","Steven Hauschka","SEA",1,74,0,0,0,0,0,0,0,0,0,0,0,143
"GIOVANIBERNARD","RB","espn","Giovani Bernard","CIN",26,75,0,0,0,0,0,137,560,5,59,464,2,142.3
"CJSPILLER","RB","espn","C.J. Spiller","NO",27,76,0,0,0,0,0,99,454,3,67,560,3,141.9
"DESEANJACKSON","WR","espn","DeSean Jackson","WAS",17,77,0,0,0,0,0,4,26,0,72,1098,5,141
"STEPHENGOSTKOWSKI","K","espn","Stephen Gostkowski","NE",2,78,0,0,0,0,0,0,0,0,0,0,0,141
"BRANDONMARSHALL","WR","espn","Brandon Marshall","NYJ",18,79,0,0,0,0,0,0,0,0,80,1002,7,140
"LEGARRETTEBLOUNT","RB","espn","LeGarrette Blount","NE",28,80,0,0,0,0,0,193,872,8,8,65,0,139.5
"KEENANALLEN","WR","espn","Keenan Allen","SD",19,81,0,0,0,0,0,0,0,0,78,1054,6,139.5
"ADAMVINATIERI","K","espn","Adam Vinatieri","IND",3,82,0,0,0,0,0,0,0,0,0,0,0,139
"TEVINCOLEMAN","RB","espn","Tevin Coleman","ATL",29,83,0,0,0,0,0,178,742,7,23,183,1,138.4
"JUSTINTUCKER","K","espn","Justin Tucker","BAL",4,84,0,0,0,0,0,0,0,0,0,0,0,138
"JOSEPHRANDLE","RB","espn","Joseph Randle","DAL",30,85,0,0,0,0,0,210,929,6,12,96,1,137.5
"GOLDENTATE","WR","espn","Golden Tate","DET",20,86,0,0,0,0,0,4,26,0,85,1065,5,137.1
