"name","pos","sourceName","name_espn","team_espn","positionRank","overallRank","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","points"
"JAMESWHITE","RB","espn","James White","NE",49,229,0,0,0,0,0,63,265,2,38,300,2,80.2
"JULIUSTHOMAS","TE","espn","Julius Thomas","JAC",19,230,0,0,0,0,0,0,0,0,51,570,4,80.1
"COREYBROWN","WR","espn","Corey Brown","CAR",67,231,0,0,0,0,0,9,61,0,38,563,3,80
"JERMAINEKEARSE","WR","espn","Jermaine Kearse","SEA",68,232,0,0,0,0,0,0,0,0,38,560,4,80
"KANSASCITYCHIEFS","DST","espn","Kansas City Chiefs","KC",26,233,0,0,0,0,0,0,0,0,0,0,0,80
"ANTONIOGATES","TE","espn","Antonio Gates","SD",20,234,0,0,0,0,0,0,0,0,42,509,5,79.7
"DWAYNEBOWE","WR","espn","Dwayne Bowe","CLE",69,235,0,0,0,0,0,0,0,0,50,632,3,79
"JACKSONVILLEJAGUARS","DST","espn","Jacksonville Jaguars","JAC",27,236,0,0,0,0,0,0,0,0,0,0,0,79
"PITTSBURGHSTEELERS","DST","espn","Pittsburgh Steelers","PIT",28,237,0,0,0,0,0,0,0,0,0,0,0,78
"REGGIEBUSH","RB","espn","Reggie Bush","SF",50,238,0,0,0,0,0,72,314,1,39,332,1,77.6
"KNILEDAVIS","RB","espn","Knile Davis","KC",51,239,0,0,0,0,0,87,343,4,15,112,1,77.1
"KAMARAIKEN","WR","espn","Kamar Aiken","BAL",70,240,0,0,0,0,0,0,0,0,41,533,4,77
"COBYFLEENER","TE","espn","Coby Fleener","IND",21,241,0,0,0,0,0,0,0,0,39,470,5,77
"CHARLESCLAY","TE","espn","Charles Clay","BUF",22,242,0,0,0,0,0,0,0,0,49,531,4,76.9
"JAREDCOOK","TE","espn","Jared Cook","STL",23,243,0,0,0,0,0,0,0,0,50,591,3,76.8
"MATTJONES","RB","espn","Matt Jones","WAS",52,244,0,0,0,0,0,76,281,3,34,268,1,76.2
"MARVINJONES","WR","espn","Marvin Jones","CIN",71,245,0,0,0,0,0,2,15,0,44,573,3,76
"RICHARDRODGERS","TE","espn","Richard Rodgers","GB",24,246,0,0,0,0,0,0,0,0,41,469,5,75.7
"RYANMALLETT","QB","espn","Ryan Mallett","HOU",35,247,202,121,1464,7,6,11,34,0,0,0,0,75.4
"DARRENSPROLES","RB","espn","Darren Sproles","PHI",53,248,0,0,0,0,0,50,231,2,41,331,1,74.8
"VERNONDAVIS","TE","espn","Vernon Davis","SF",25,249,0,0,0,0,0,0,0,0,44,577,3,74.4
"TREMASON","RB","espn","Tre Mason","STL",54,250,0,0,0,0,0,119,524,2,16,121,0,74.1
"REGGIEWAYNE","WR","espn","Reggie Wayne","NE",72,251,0,0,0,0,0,0,0,0,46,557,3,73
"GREGJENNINGS","WR","espn","Greg Jennings","MIA",73,252,0,0,0,0,0,0,0,0,40,555,3,73
"TYLERLOCKETT","WR","espn","Tyler Lockett","SEA",74,253,0,0,0,0,0,2,15,0,35,503,3,73
"NEWORLEANSSAINTS","DST","espn","New Orleans Saints","NO",29,254,0,0,0,0,0,0,0,0,0,0,0,73
"LANCEDUNBAR","RB","espn","Lance Dunbar","DAL",55,255,0,0,0,0,0,55,225,1,36,318,2,72.9
"RONNIEHILLMAN","RB","espn","Ronnie Hillman","DEN",56,256,0,0,0,0,0,88,363,3,17,144,1,72.2
"ANDREROBERTS","WR","espn","Andre Roberts","WAS",75,257,0,0,0,0,0,2,12,0,40,492,3,70.3
"BENJAMINWATSON","TE","espn","Benjamin Watson","NO",26,258,0,0,0,0,0,0,0,0,41,463,4,69.7
"DEXTERMCCLUSTER","RB","espn","Dexter McCluster","TEN",57,259,0,0,0,0,0,45,184,1,40,362,1,69.3
"DEXTERMCCLUSTER","WR","espn","Dexter McCluster","TEN",76,260,0,0,0,0,0,45,184,1,40,362,1,69.3
"PHILLIPDORSETT","WR","espn","Phillip Dorsett","IND",77,261,0,0,0,0,0,4,26,0,36,440,3,67.3
"DENARDROBINSON","RB","espn","Denard Robinson","JAC",58,262,0,0,0,0,0,76,310,2,28,196,1,67.2
"ROBERTWOODS","WR","espn","Robert Woods","BUF",78,263,0,0,0,0,0,0,0,0,37,488,3,67
"WASHINGTONREDSKINS","DST","espn","Washington Redskins","WAS",30,264,0,0,0,0,0,0,0,0,0,0,0,67
"DANIELHERRON","RB","espn","Daniel Herron","IND",59,265,0,0,0,0,0,61,253,2,29,244,1,66.8
"TAVONAUSTIN","WR","espn","Tavon Austin","STL",79,266,0,0,0,0,0,21,157,0,33,347,2,66.3
"ANDREWHAWKINS","WR","espn","Andrew Hawkins","CLE",80,267,0,0,0,0,0,7,46,0,49,507,2,66
"JACOBTAMME","TE","espn","Jacob Tamme","ATL",27,268,0,0,0,0,0,0,0,0,45,487,3,65.7
"SANDIEGOCHARGERS","DST","espn","San Diego Chargers","SD",31,269,0,0,0,0,0,0,0,0,0,0,0,65
"CECILSHORTS","WR","espn","Cecil Shorts III","HOU",81,270,0,0,0,0,0,0,0,0,34,438,3,62.4
"BILALPOWELL","RB","espn","Bilal Powell","NYJ",60,271,0,0,0,0,0,55,225,1,36,287,1,62.1
"JEFFCUMBERLAND","TE","espn","Jeff Cumberland","NYJ",28,272,0,0,0,0,0,0,0,0,37,443,3,61.8
"BRIANHARTLINE","WR","espn","Brian Hartline","CLE",82,273,0,0,0,0,0,0,0,0,35,478,2,59
"LADARIUSGREEN","TE","espn","Ladarius Green","SD",29,274,0,0,0,0,0,0,0,0,33,413,3,58.8
"MAXXWILLIAMS","TE","espn","Maxx Williams","BAL",30,275,0,0,0,0,0,0,0,0,35,412,3,58.7
"DORIALGREENBECKHAM","WR","espn","Dorial Green-Beckham","TEN",83,276,0,0,0,0,0,0,0,0,29,406,3,58
"TERRANCEWEST","RB","espn","Terrance West","CLE",61,277,0,0,0,0,0,85,361,3,7,59,0,57.2
"DONTEMONCRIEF","WR","espn","Donte Moncrief","IND",84,278,0,0,0,0,0,4,28,0,27,375,3,57
"DEVINSMITH","WR","espn","Devin Smith","NYJ",85,279,0,0,0,0,0,1,10,0,31,446,2,57
"JOSHHILL","TE","espn","Josh Hill","NO",31,280,0,0,0,0,0,0,0,0,32,338,4,56.8
"BENJAMINCUNNINGHAM","RB","espn","Benjamin Cunningham","STL",62,281,0,0,0,0,0,29,124,1,37,301,1,55.5
"DAVIDCOBB","RB","espn","David Cobb","TEN",63,282,0,0,0,0,0,85,356,3,6,47,0,55.1
"JERICKMCKINNON","RB","espn","Jerick McKinnon","MIN",64,283,0,0,0,0,0,58,267,1,23,179,1,55.1
"DEANGELOWILLIAMS","RB","espn","DeAngelo Williams","PIT",65,284,0,0,0,0,0,92,421,1,9,70,0,53.1
"JAMESSTARKS","RB","espn","James Starks","GB",66,285,0,0,0,0,0,67,293,1,15,120,1,53.1
"MARQISELEE","WR","espn","Marqise Lee","JAC",86,286,0,0,0,0,0,0,0,0,35,414,2,53
"TEDGINN","WR","espn","Ted Ginn Jr.","CAR",87,287,0,0,0,0,0,5,30,0,24,340,2,52.5
"MYCHALRIVERA","TE","espn","Mychal Rivera","OAK",32,288,0,0,0,0,0,0,0,0,36,410,2,52.2
"RODSTREATER","WR","espn","Rod Streater","OAK",88,289,0,0,0,0,0,0,0,0,30,406,2,52
"HARRYDOUGLAS","WR","espn","Harry Douglas","TEN",89,290,0,0,0,0,0,0,0,0,33,402,2,52
"TAYLORGABRIEL","WR","espn","Taylor Gabriel","CLE",90,291,0,0,0,0,0,2,15,0,28,389,2,51
"MIKETOLBERT","RB","espn","Mike Tolbert","CAR",67,292,0,0,0,0,0,44,169,2,23,164,1,50.2
"CHRISCONLEY","WR","espn","Chris Conley","KC",91,293,0,0,0,0,0,0,0,0,32,385,2,50
"JARIUSWRIGHT","WR","espn","Jarius Wright","MIN",92,294,0,0,0,0,0,4,25,0,27,358,2,49.7
"MOHAMEDSANU","WR","espn","Mohamed Sanu","CIN",93,295,0,0,0,0,0,9,62,0,28,308,2,48
"DAMIENWILLIAMS","RB","espn","Damien Williams","MIA",68,296,0,0,0,0,0,66,257,2,13,103,0,47.1
"JAELENSTRONG","WR","espn","Jaelen Strong","HOU",94,297,0,0,0,0,0,0,0,0,27,356,2,47
"OAKLANDRAIDERS","DST","espn","Oakland Raiders","OAK",32,298,0,0,0,0,0,0,0,0,0,0,0,47
"DEANTHONYTHOMAS","RB","espn","De'Anthony Thomas","KC",69,299,0,0,0,0,0,15,92,0,28,213,2,46.4
"DEANTHONYTHOMAS","WR","espn","De'Anthony Thomas","KC",95,300,0,0,0,0,0,15,92,0,28,213,2,46.4
"DANNYAMENDOLA","WR","espn","Danny Amendola","NE",96,301,0,0,0,0,0,0,0,0,34,341,2,46
"ALBERTWILSON","WR","espn","Albert Wilson","KC",97,302,0,0,0,0,0,0,0,0,28,323,2,44
"BRENTCELEK","TE","espn","Brent Celek","PHI",33,303,0,0,0,0,0,0,0,0,24,268,3,43.8
"RILEYCOOPER","WR","espn","Riley Cooper","PHI",98,304,0,0,0,0,0,0,0,0,22,318,2,43
"ANDREHOLMES","WR","espn","Andre Holmes","OAK",99,305,0,0,0,0,0,0,0,0,22,318,2,43
"KARLOSWILLIAMS","RB","espn","Karlos Williams","BUF",70,306,0,0,0,0,0,64,254,2,10,77,0,42.1
"JEFFJANIS","WR","espn","Jeff Janis","GB",100,307,0,0,0,0,0,0,0,0,19,304,2,42
"KEVINWHITE","WR","espn","Kevin White","CHI",101,308,0,0,0,0,0,0,0,0,22,308,2,42
"CLIVEWALFORD","TE","espn","Clive Walford","OAK",34,309,0,0,0,0,0,0,0,0,26,300,2,41.7
"ROBHOUSLER","TE","espn","Rob Housler","CLE",35,310,0,0,0,0,0,0,0,0,26,305,2,41.6
"CAMERONARTISPAYNE","RB","espn","Cameron Artis-Payne","CAR",71,311,0,0,0,0,0,67,278,2,6,47,0,41.1
"LOUISMURPHY","WR","espn","Louis Murphy","TB",102,312,0,0,0,0,0,0,0,0,20,294,2,41
"KHIRYROBINSON","RB","espn","Khiry Robinson","NO",72,313,0,0,0,0,0,50,216,2,9,76,0,40.1
"ROBERTTURBIN","RB","espn","Robert Turbin","SEA",73,314,0,0,0,0,0,66,264,1,10,83,0,40.1
"CROCKETTGILLMORE","TE","espn","Crockett Gillmore","BAL",36,315,0,0,0,0,0,0,0,0,25,281,2,39.8
"GARRETTGRAHAM","TE","espn","Garrett Graham","HOU",37,316,0,0,0,0,0,0,0,0,26,287,2,39.7
"LANCEKENDRICKS","TE","espn","Lance Kendricks","STL",38,317,0,0,0,0,0,0,0,0,25,270,2,38.8
"MARQUESSWILSON","WR","espn","Marquess Wilson","CHI",103,318,0,0,0,0,0,0,0,0,21,262,2,38
"GAVINESCOBAR","TE","espn","Gavin Escobar","DAL",39,319,0,0,0,0,0,0,0,0,17,206,3,37.9
"DENNISPITTA","TE","espn","Dennis Pitta","BAL",40,320,0,0,0,0,0,0,0,0,23,264,2,37.9
"THEORIDDICK","RB","espn","Theo Riddick","DET",74,321,0,0,0,0,0,17,65,0,29,248,1,36.1
"TOBYGERHART","RB","espn","Toby Gerhart","JAC",75,322,0,0,0,0,0,27,112,1,17,131,1,36.1
"MARLONBROWN","WR","espn","Marlon Brown","BAL",104,323,0,0,0,0,0,0,0,0,19,241,2,36
"MARCEDESLEWIS","TE","espn","Marcedes Lewis","JAC",41,324,0,0,0,0,0,0,0,0,22,249,2,35.8
"CHRISJOHNSON","RB","espn","Chris Johnson","ARZ",76,325,0,0,0,0,0,55,236,1,9,69,0,35.1
"QUINTONPATTON","WR","espn","Quinton Patton","SF",105,326,0,0,0,0,0,2,14,0,21,284,1,35
"BRANDENOLIVER","RB","espn","Branden Oliver","SD",77,327,0,0,0,0,0,53,217,1,8,70,0,34.6
"CORDARRELLEPATTERSON","WR","espn","Cordarrelle Patterson","MIN",106,328,0,0,0,0,0,8,53,0,17,208,1,34.2
"MONTEEBALL","RB","espn","Montee Ball","DEN",78,329,0,0,0,0,0,46,191,2,5,38,0,34.1
"STEDMANBAILEY","WR","espn","Stedman Bailey","STL",107,330,0,0,0,0,0,0,0,0,22,282,1,34
"DIONSIMS","TE","espn","Dion Sims","MIA",42,331,0,0,0,0,0,0,0,0,20,223,2,33.8
"DARRENFELLS","TE","espn","Darren Fells","ARZ",43,332,0,0,0,0,0,0,0,0,19,222,2,33.8
"JACQUIZZRODGERS","RB","espn","Jacquizz Rodgers","CHI",79,333,0,0,0,0,0,41,165,1,14,113,0,33.4
"JONATHANGRIMES","RB","espn","Jonathan Grimes","HOU",80,334,0,0,0,0,0,50,195,1,10,80,0,33.1
"JERMAINEGRESHAM","TE","espn","Jermaine Gresham","ARZ",44,335,0,0,0,0,0,0,0,0,21,214,2,32.5
"JAVORIUSALLEN","RB","espn","Javorius Allen","BAL",81,336,0,0,0,0,0,37,161,1,13,101,0,32.1
"CHRISMATTHEWS","WR","espn","Chris Matthews","SEA",108,337,0,0,0,0,0,0,0,0,14,203,2,32
"MATTASIATA","RB","espn","Matt Asiata","MIN",82,338,0,0,0,0,0,20,80,1,15,112,1,31.1
"ANDREWQUARLESS","TE","espn","Andrew Quarless","GB",45,339,0,0,0,0,0,0,0,0,17,190,2,30.9
"VIRGILGREEN","TE","espn","Virgil Green","DEN",46,340,0,0,0,0,0,0,0,0,21,194,2,30.8
"JEREMYLANGFORD","RB","espn","Jeremy Langford","CHI",83,341,0,0,0,0,0,59,237,1,2,17,0,30.1
"DRIARCHER","RB","espn","Dri Archer","PIT",84,342,0,0,0,0,0,16,61,0,20,164,1,28.4
"JUSTINHARDY","WR","espn","Justin Hardy","ATL",109,343,0,0,0,0,0,0,0,0,18,221,1,28
"JOSHROBINSON","RB","espn","Josh Robinson","IND",85,344,0,0,0,0,0,36,149,1,9,77,0,27.1
"STEVANRIDLEY","RB","espn","Stevan Ridley","NYJ",86,345,0,0,0,0,0,46,190,1,1,10,0,26.1
"BOBBYRAINEY","RB","espn","Bobby Rainey","TB",87,346,0,0,0,0,0,33,131,1,8,69,0,25.4
"KENNYBELL","WR","espn","Kenny Bell","TB",110,347,0,0,0,0,0,0,0,0,15,192,1,25
"JEREMYKERLEY","WR","espn","Jeremy Kerley","NYJ",111,348,0,0,0,0,0,2,16,0,14,159,1,24.5
"JOSHHUFF","WR","espn","Josh Huff","PHI",112,349,0,0,0,0,0,0,0,0,13,153,1,24.2
"BRANDONBOLDEN","RB","espn","Brandon Bolden","NE",88,350,0,0,0,0,0,28,120,1,6,50,0,23.1
"MARCELREECE","RB","espn","Marcel Reece","OAK",89,351,0,0,0,0,0,11,36,0,15,148,1,23.1
"SAMMIECOATES","WR","espn","Sammie Coates","PIT",113,352,0,0,0,0,0,0,0,0,12,175,1,23
"CHRISTINEMICHAEL","RB","espn","Christine Michael","SEA",90,353,0,0,0,0,0,35,152,1,2,14,0,22
"JUSTINHUNTER","WR","espn","Justin Hunter","TEN",114,354,0,0,0,0,0,0,0,0,11,167,1,22
"DANIELFELLS","TE","espn","Daniel Fells","NYG",47,355,0,0,0,0,0,0,0,0,15,168,1,21.7
"EJMANUEL","QB","espn","EJ Manuel","BUF",36,356,58,34,385,2,2,7,22,0,0,0,0,21.1
"ZACSTACY","RB","espn","Zac Stacy","NYJ",91,357,0,0,0,0,0,33,130,1,3,22,0,21
"SCOTTCHANDLER","TE","espn","Scott Chandler","NE",48,358,0,0,0,0,0,0,0,0,13,153,1,20.9
"CJFIEDOROWICZ","TE","espn","C.J. Fiedorowicz","HOU",49,359,0,0,0,0,0,0,0,0,13,152,1,20.9
"GARYBARNIDGE","TE","espn","Gary Barnidge","CLE",50,360,0,0,0,0,0,0,0,0,12,147,1,19.9
"ANTONESMITH","RB","espn","Antone Smith","ATL",92,361,0,0,0,0,0,22,103,1,4,38,0,19
"BOOBIEDIXON","RB","espn","Boobie Dixon","BUF",93,362,0,0,0,0,0,28,106,1,3,27,0,18.1
"LUKEWILLSON","TE","espn","Luke Willson","SEA",51,363,0,0,0,0,0,0,0,0,11,122,1,18
"JOSEPHFAURIA","TE","espn","Joseph Fauria","DET",52,364,0,0,0,0,0,0,0,0,11,124,1,17.9
"JAMESCASEY","TE","espn","James Casey","DEN",53,365,0,0,0,0,0,0,0,0,14,119,1,16.9
"RYANGRIFFIN","TE","espn","Ryan Griffin","HOU",54,366,0,0,0,0,0,0,0,0,10,110,1,16.9
"TRAVISBENJAMIN","WR","espn","Travis Benjamin","CLE",115,367,0,0,0,0,0,5,30,0,7,99,0,16.8
"TONYMOEAKI","TE","espn","Tony Moeaki","ATL",55,368,0,0,0,0,0,0,0,0,8,92,1,15
"MILESAUSTIN","WR","espn","Miles Austin","PHI",116,369,0,0,0,0,0,0,0,0,6,81,1,14
"TYLERKROFT","TE","espn","Tyler Kroft","CIN",56,370,0,0,0,0,0,0,0,0,7,80,1,13.9
"TROYNIKLAS","TE","espn","Troy Niklas","ARZ",57,371,0,0,0,0,0,0,0,0,8,87,1,13.9
"DANTEROSARIO","TE","espn","Dante Rosario","CHI",58,372,0,0,0,0,0,0,0,0,8,87,1,13.9
"COLTMCCOY","QB","espn","Colt McCoy","WAS",37,373,34,22,256,1,1,4,12,0,0,0,0,13.1
"JUWANTHOMPSON","RB","espn","Juwan Thompson","DEN",94,374,0,0,0,0,0,16,69,1,2,18,0,13
"ANTHONYFASANO","TE","espn","Anthony Fasano","TEN",59,375,0,0,0,0,0,0,0,0,7,77,1,13
"BRANDONPETTIGREW","TE","espn","Brandon Pettigrew","DET",60,376,0,0,0,0,0,0,0,0,5,60,1,11.9
"JOHNNYMANZIEL","QB","espn","Johnny Manziel","CLE",38,377,31,17,186,1,1,7,20,0,0,0,0,11.1
"DREWSTANTON","QB","espn","Drew Stanton","ARZ",39,378,32,19,227,1,1,2,5,0,0,0,0,11.1
"CHRISTHOMPSON","RB","espn","Chris Thompson","WAS",95,379,0,0,0,0,0,11,42,0,9,74,0,11
"JIMMYCLAUSEN","QB","espn","Jimmy Clausen","CHI",40,380,33,19,219,1,1,3,9,0,0,0,0,10.1
"MICHAELVICK","QB","espn","Michael Vick","PIT",41,381,16,9,111,1,0,4,12,0,0,0,0,9
"FOZZYWHITTAKER","RB","espn","Fozzy Whittaker","CAR",96,382,0,0,0,0,0,16,57,0,4,31,0,8.4
"BRANDONWEEDEN","QB","espn","Brandon Weeden","DAL",42,383,15,9,112,1,0,0,1,0,0,0,0,8
"CHASEDANIEL","QB","espn","Chase Daniel","KC",43,384,16,9,101,1,0,1,4,0,0,0,0,8
"CASEKEENUM","QB","espn","Case Keenum","STL",44,385,15,9,101,1,0,0,1,0,0,0,0,8
"DEREKANDERSON","QB","espn","Derek Anderson","CAR",45,386,21,12,148,1,1,3,8,0,0,0,0,7
"JAYAJAYI","RB","espn","Jay Ajayi","MIA",97,387,0,0,0,0,0,12,47,0,4,35,0,7
"CHRISPOLK","RB","espn","Chris Polk","HOU",98,388,0,0,0,0,0,17,77,0,1,8,0,7
"VANCEMCDONALD","TE","espn","Vance McDonald","SF",61,389,0,0,0,0,0,0,0,0,7,74,0,6.9
"MARKSANCHEZ","QB","espn","Mark Sanchez","PHI",46,390,16,10,115,1,1,3,8,0,0,0,0,6
"ZACHZENNER","RB","espn","Zach Zenner","DET",99,391,0,0,0,0,0,16,64,0,0,0,0,6
"STEPFANTAYLOR","RB","espn","Stepfan Taylor","ARZ",100,392,0,0,0,0,0,16,60,0,0,0,0,6
"KENDALLHUNTER","RB","espn","Kendall Hunter","SF",101,393,0,0,0,0,0,13,49,0,2,15,0,5
"BLAINEGABBERT","QB","espn","Blaine Gabbert","SF",47,394,15,9,112,0,0,3,8,0,0,0,0,4
"TRAVARISCADET","RB","espn","Travaris Cadet","NE",102,395,0,0,0,0,0,5,20,0,3,20,0,4
"BRYCEBROWN","RB","espn","Bryce Brown","BUF",103,396,0,0,0,0,0,10,37,0,2,13,0,4
"MIKEDAVIS","RB","espn","Mike Davis","SF",104,397,0,0,0,0,0,9,33,0,2,15,0,4
"KADEEMCAREY","RB","espn","Ka'Deem Carey","CHI",105,398,0,0,0,0,0,9,37,0,2,18,0,4
"JOSHHARRIS","RB","espn","Josh Harris","PIT",106,399,0,0,0,0,0,13,48,0,1,4,0,4
"RYANGRANT","WR","espn","Ryan Grant","WAS",117,400,0,0,0,0,0,0,0,0,3,43,0,4
"AARONDOBSON","WR","espn","Aaron Dobson","NE",118,401,0,0,0,0,0,0,0,0,3,44,0,4
"MATTSPAETH","TE","espn","Matt Spaeth","PIT",62,402,0,0,0,0,0,0,0,0,4,45,0,4
"EDWINBAKER","RB","espn","Edwin Baker","NO",107,403,0,0,0,0,0,4,16,0,2,20,0,3
"JAMESJONES","WR","espn","James Jones","NYG",119,404,0,0,0,0,0,0,0,0,2,30,0,3
"KERWYNNWILLIAMS","RB","espn","Kerwynn Williams","ARZ",108,405,0,0,0,0,0,4,15,0,2,18,0,2.6
"DONALDBROWN","RB","espn","Donald Brown","SD",109,406,0,0,0,0,0,4,15,0,2,18,0,2
"VICKBALLARD","RB","espn","Vick Ballard","IND",110,407,0,0,0,0,0,4,15,0,2,19,0,2
"DURONCARTER","WR","espn","Duron Carter","IND",120,408,0,0,0,0,0,0,0,0,2,23,0,2
"STORMJOHNSON","RB","espn","Storm Johnson","JAC",111,409,0,0,0,0,0,4,14,0,0,0,0,1
"JORDANTODMAN","RB","espn","Jordan Todman","CAR",112,410,0,0,0,0,0,4,17,0,0,0,0,1
"DARRINREAVES","RB","espn","Darrin Reaves","KC",113,411,0,0,0,0,0,5,18,0,0,0,0,1
"MATTCASSEL","QB","espn","Matt Cassel","BUF",48,412,0,0,0,0,0,0,0,0,0,0,0,0
"JIMMYGAROPPOLO","QB","espn","Jimmy Garoppolo","NE",49,413,3,2,19,0,0,0,0,0,0,0,0,0
"BROCKOSWEILER","QB","espn","Brock Osweiler","DEN",50,414,3,2,20,0,0,2,7,0,0,0,0,0
"MIKEGLENNON","QB","espn","Mike Glennon","TB",51,415,3,2,22,0,0,0,0,0,0,0,0,0
"ZACHMETTENBERGER","QB","espn","Zach Mettenberger","TEN",52,416,3,2,19,0,0,0,0,0,0,0,0,0
"SHAUNHILL","QB","espn","Shaun Hill","MIN",53,417,3,2,20,0,0,0,0,0,0,0,0,0
"MATTHASSELBECK","QB","espn","Matt Hasselbeck","IND",54,418,3,2,23,0,0,0,0,0,0,0,0,0
"SCOTTTOLZIEN","QB","espn","Scott Tolzien","GB",55,419,3,2,20,0,0,0,0,0,0,0,0,0
"RYANNASSIB","QB","espn","Ryan Nassib","NYG",56,420,3,2,20,0,0,0,0,0,0,0,0,0
"LUKEMCCOWN","QB","espn","Luke McCown","NO",57,421,3,2,22,0,0,0,1,0,0,0,0,0
"DANORLOVSKY","QB","espn","Dan Orlovsky","DET",58,422,3,2,22,0,0,0,0,0,0,0,0,0
"CHADHENNE","QB","espn","Chad Henne","JAC",59,423,3,2,19,0,0,0,0,0,0,0,0,0
"MATTSCHAUB","QB","espn","Matt Schaub","BAL",60,424,3,2,20,0,0,0,0,0,0,0,0,0
"KELLENCLEMENS","QB","espn","Kellen Clemens","SD",61,425,3,2,21,0,0,0,0,0,0,0,0,0
"MATTMOORE","QB","espn","Matt Moore","MIA",62,426,3,2,21,0,0,0,0,0,0,0,0,0
"TARVARISJACKSON","QB","espn","Tarvaris Jackson","SEA",63,427,2,1,17,0,0,0,0,0,0,0,0,0
"REXGROSSMAN","QB","espn","Rex Grossman","ATL",64,428,0,0,0,0,0,0,0,0,0,0,0,0
"TJYATES","QB","espn","T.J. Yates","ATL",65,429,3,2,20,0,0,0,0,0,0,0,0,0
"BRETTHUNDLEY","QB","espn","Brett Hundley","GB",66,430,0,0,0,0,0,0,0,0,0,0,0,0
"AJMCCARRON","QB","espn","AJ McCarron","CIN",67,431,2,1,16,0,0,0,0,0,0,0,0,0
"GARRETTGRAYSON","QB","espn","Garrett Grayson","NO",68,432,0,0,0,0,0,0,0,0,0,0,0,0
"CHRISTIANPONDER","QB","espn","Christian Ponder","OAK",69,433,3,2,19,0,0,0,1,0,0,0,0,0
"TOMSAVAGE","QB","espn","Tom Savage","HOU",70,434,0,0,0,0,0,0,0,0,0,0,0,0
"MARKBRUNELL","QB","espn","Mark Brunell","FA",71,435,0,0,0,0,0,0,0,0,0,0,0,0
"JONKITNA","QB","espn","Jon Kitna","DAL",72,436,0,0,0,0,0,0,0,0,0,0,0,0
"TODDBOUMAN","QB","espn","Todd Bouman","FA",73,437,0,0,0,0,0,0,0,0,0,0,0,0
"CHARLIEBATCH","QB","espn","Charlie Batch","FA",74,438,0,0,0,0,0,0,0,0,0,0,0,0
"JAKEDELHOMME","QB","espn","Jake Delhomme","FA",75,439,0,0,0,0,0,0,0,0,0,0,0,0
"DONOVANMCNABB","QB","espn","Donovan McNabb","FA",76,440,0,0,0,0,0,0,0,0,0,0,0,0
"DAUNTECULPEPPER","QB","espn","Daunte Culpepper","FA",77,441,0,0,0,0,0,0,0,0,0,0,0,0
"CHRISGREISEN","QB","espn","Chris Greisen","FA",78,442,0,0,0,0,0,0,0,0,0,0,0,0
"JEFFGARCIA","QB","espn","Jeff Garcia","FA",79,443,0,0,0,0,0,0,0,0,0,0,0,0
"CHRISREDMAN","QB","espn","Chris Redman","FA",80,444,0,0,0,0,0,0,0,0,0,0,0,0
"BILLYVOLEK","QB","espn","Billy Volek","FA",81,445,0,0,0,0,0,0,0,0,0,0,0,0
"SAGEROSENFELS","QB","espn","Sage Rosenfels","FA",82,446,0,0,0,0,0,0,0,0,0,0,0,0
"AJFEELEY","QB","espn","A.J. Feeley","FA",83,447,0,0,0,0,0,0,0,0,0,0,0,0
"DAVIDCARR","QB","espn","David Carr","FA",84,448,0,0,0,0,0,0,0,0,0,0,0,0
"DAVIDGARRARD","QB","espn","David Garrard","FA",85,449,0,0,0,0,0,0,0,0,0,0,0,0
"JTOSULLIVAN","QB","espn","J.T. O'Sullivan","FA",86,450,0,0,0,0,0,0,0,0,0,0,0,0
"BYRONLEFTWICH","QB","espn","Byron Leftwich","FA",87,451,0,0,0,0,0,0,0,0,0,0,0,0
"KYLEBOLLER","QB","espn","Kyle Boller","FA",88,452,0,0,0,0,0,0,0,0,0,0,0,0
"SENECAWALLACE","QB","espn","Seneca Wallace","GB",89,453,0,0,0,0,0,0,0,0,0,0,0,0
"BRIANSTPIERRE","QB","espn","Brian St. Pierre","FA",90,454,0,0,0,0,0,0,0,0,0,0,0,0
"CLEOLEMON","QB","espn","Cleo Lemon","FA",91,455,0,0,0,0,0,0,0,0,0,0,0,0
"JPLOSMAN","QB","espn","J.P. Losman","FA",92,456,0,0,0,0,0,0,0,0,0,0,0,0
"JIMSORGI","QB","espn","Jim Sorgi","FA",93,457,0,0,0,0,0,0,0,0,0,0,0,0
"JASONCAMPBELL","QB","espn","Jason Campbell","CIN",94,458,0,0,0,0,0,0,0,0,0,0,0,0
"KYLEORTON","QB","espn","Kyle Orton","BUF",95,459,0,0,0,0,0,0,0,0,0,0,0,0
"VINCEYOUNG","QB","espn","Vince Young","GB",96,460,0,0,0,0,0,0,0,0,0,0,0,0
"MATTLEINART","QB","espn","Matt Leinart","FA",97,461,0,0,0,0,0,0,0,0,0,0,0,0
"CHARLIEWHITEHURST","QB","espn","Charlie Whitehurst","TEN",98,462,0,0,0,0,0,0,0,0,0,0,0,0
"BRODIECROYLE","QB","espn","Brodie Croyle","FA",99,463,0,0,0,0,0,0,0,0,0,0,0,0
"BRUCEGRADKOWSKI","QB","espn","Bruce Gradkowski","PIT",100,464,0,0,0,0,0,0,0,0,0,0,0,0
"BRADYQUINN","QB","espn","Brady Quinn","MIA",101,465,0,0,0,0,0,0,0,0,0,0,0,0
