"name","pos","sourceName","name_fp","team_fp","positionRank","overallRank","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","returnTds","twoPts","fumbles","fg","xp","points"
"TERRELLEPRYOR","WR","fp","Terrelle Pryor","CLE",146,436,NA,NA,NA,NA,NA,4.6,30,0.1,3.8,48.7,0.3,NA,NA,0.1,NA,NA,9.8
"GERELLROBINSON","TE","fp","Gerell Robinson","MIA",79,437,NA,NA,NA,NA,NA,NA,NA,NA,8.1,73.5,0.4,NA,NA,0,NA,NA,9.8
"WILLJOHNSON","RB","fp","Will Johnson","PIT",136,438,NA,NA,NA,NA,NA,2.6,6.9,0,9.2,68.8,0.3,NA,NA,0.1,NA,NA,9.7
"SAALIMHAKIM","WR","fp","Saalim Hakim","NYJ",147,439,NA,NA,NA,NA,NA,0,0,0,6,81.7,0.3,NA,NA,0,NA,NA,9.7
"BRANDONWEEDEN","QB","fp","Brandon Weeden","DAL",45,440,19.7,11.8,143,1.1,0.3,1.1,3,0,NA,NA,NA,NA,NA,0.1,NA,NA,9.6
"MATTSLATER","WR","fp","Matt Slater","NE",148,441,NA,NA,NA,NA,NA,0,0,0,5.6,70.6,0.4,NA,NA,0,NA,NA,9.5
"BLAKEBELL","TE","fp","Blake Bell","SF",80,442,NA,NA,NA,NA,NA,NA,NA,NA,6.4,72.1,0.4,NA,NA,0.1,NA,NA,9.5
"KYLEWILLIAMS","WR","fp","Kyle Williams","DEN",149,443,NA,NA,NA,NA,NA,0,0,0,11,94,0,NA,NA,0,NA,NA,9.4
"JEFFMAEHL","WR","fp","Jeff Maehl","PHI",150,444,NA,NA,NA,NA,NA,0,0,0,6.3,70.5,0.4,NA,NA,0,NA,NA,9.4
"COOPERHELFET","TE","fp","Cooper Helfet","SEA",81,445,NA,NA,NA,NA,NA,NA,NA,NA,4.7,59.2,0.6,NA,NA,0,NA,NA,9.4
"TAIWANJONES","RB","fp","Taiwan Jones","OAK",137,446,NA,NA,NA,NA,NA,9.1,35.2,0.2,4.3,35.7,0.1,NA,NA,0,NA,NA,9.3
"DJWILLIAMS","TE","fp","D.J. Williams","WAS",82,447,NA,NA,NA,NA,NA,NA,NA,NA,5.2,60.1,0.6,NA,NA,0,NA,NA,9.3
"JAMESOSHAUGHNESSY","TE","fp","James O'Shaughnessy","KC",83,448,NA,NA,NA,NA,NA,NA,NA,NA,6,66.9,0.5,NA,NA,0.1,NA,NA,9.3
"FITZGERALDTOUSSAINT","RB","fp","Fitzgerald Toussaint","BAL",138,449,NA,NA,NA,NA,NA,9.5,37.7,0.3,3.7,30.8,0.1,NA,NA,0,NA,NA,9.2
"MARQUEISGRAY","TE","fp","MarQueis Gray","BUF",84,450,NA,NA,NA,NA,NA,NA,NA,NA,5.6,67.9,0.4,NA,NA,0.1,NA,NA,9.2
"MARIONGRICE","RB","fp","Marion Grice","ARI",139,451,NA,NA,NA,NA,NA,9.3,37,0.3,4.6,31.5,0.1,NA,NA,0,NA,NA,9
"AUSTINPETTIS","WR","fp","Austin Pettis","SD",151,452,NA,NA,NA,NA,NA,0,0,0,5.3,64,0.4,NA,NA,0,NA,NA,9
"JIMMYCLAUSEN","QB","fp","Jimmy Clausen","CHI",46,453,24.9,14.3,163.3,0.9,0.6,1.9,6.5,0,NA,NA,NA,NA,NA,0.4,NA,NA,8.9
"JORVORSKIELANE","RB","fp","Jorvorskie Lane","TB",140,454,NA,NA,NA,NA,NA,6.7,34.2,0.2,4.9,34.6,0.1,NA,NA,0.1,NA,NA,8.9
"RASHADROSS","WR","fp","Rashad Ross","WAS",152,455,NA,NA,NA,NA,NA,0,0,0,5.7,71.7,0.3,NA,NA,0,NA,NA,8.9
"ZACHMETTENBERGER","QB","fp","Zach Mettenberger","TEN",47,456,23.1,13.5,154.3,0.9,0.7,1.4,5.8,0,NA,NA,NA,NA,NA,0.1,NA,NA,8.8
"CORYHARKEY","RB","fp","Cory Harkey","STL",141,457,NA,NA,NA,NA,NA,0,0,0,7.6,64.3,0.4,NA,NA,0.1,NA,NA,8.6
"MARQUISEGOODWIN","WR","fp","Marquise Goodwin","BUF",153,458,NA,NA,NA,NA,NA,0,-0.5,0,5.1,71.1,0.3,NA,NA,0,NA,NA,8.6
"MARLONMOORE","WR","fp","Marlon Moore","CLE",154,459,NA,NA,NA,NA,NA,0,-0.2,0,5.8,71.9,0.2,NA,NA,0,NA,NA,8.6
"RYANGRANT","WR","fp","Ryan Grant","WAS",155,460,NA,NA,NA,NA,NA,0,0,0,4.7,60.3,0.4,NA,NA,0,NA,NA,8.4
"JEREMYSTEWART","RB","fp","Jeremy Stewart","DEN",142,461,NA,NA,NA,NA,NA,10.9,43.8,0.5,1.4,7.3,0,NA,NA,0,NA,NA,8.3
"REXBURKHEAD","RB","fp","Rex Burkhead","CIN",143,462,NA,NA,NA,NA,NA,4.8,18.7,0.2,5.8,47.1,0.1,NA,NA,0.1,NA,NA,8.3
"TANDONDOSS","WR","fp","Tandon Doss","JAC",156,463,NA,NA,NA,NA,NA,0,0,0,5.5,71.6,0.2,NA,NA,0,NA,NA,8.3
