"name","pos","sourceName","name_fox","team_fox","positionRank","overallRank","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","returnTds","twoPts","fumbles","points"
"JEFFCUMBERLAND","TE","fox","Jeff Cumberland","NYJ",33,221,NA,NA,NA,NA,NA,0,0,0,36,415,2,NA,0,1,52.9
"JARIUSWRIGHT","WR","fox","Jarius Wright","MIN",95,222,NA,NA,NA,NA,NA,0,0,0,28,369,3,NA,0,0,52.2
"GREGJENNINGS","WR","fox","Greg Jennings","MIA",96,223,NA,NA,NA,NA,NA,0,0,0,22,353,3,NA,0,0,51.4
"RODSTREATER","WR","fox","Rod Streater","OAK",97,224,NA,NA,NA,NA,NA,0,0,0,28,368,2,NA,0,0,51.1
"LEVINETOILOLO","TE","fox","Levine Toilolo","ATL",34,225,NA,NA,NA,NA,NA,0,0,0,32,355,3,NA,0,1,51
"ROBHOUSLER","TE","fox","Rob Housler","CLE",35,226,NA,NA,NA,NA,NA,0,0,0,36,389,2,NA,0,1,50.6
"DAMIENWILLIAMS","RB","fox","Damien Williams","MIA",61,227,NA,NA,NA,NA,NA,66,212,2,23,128,1,NA,0,2,49.8
"CHRISCONLEY","WR","fox","Chris Conley","KC",98,227,NA,NA,NA,NA,NA,0,0,0,31,360,2,NA,0,0,49.8
"BRENTCELEK","TE","fox","Brent Celek","PHI",36,229,NA,NA,NA,NA,NA,0,0,0,35,347,3,NA,0,0,49.5
"DUKEJOHNSON","RB","fox","Duke Johnson Jr.","CLE",62,230,NA,NA,NA,NA,NA,87,297,3,7,46,0,NA,0,2,49.2
"DEVINSMITH","WR","fox","Devin Smith","NYJ",99,230,NA,NA,NA,NA,NA,0,0,0,31,377,2,NA,0,0,49.2
"VERNONDAVIS","TE","fox","Vernon Davis","SF",37,232,NA,NA,NA,NA,NA,0,0,0,33,365,2,NA,0,1,49
"JONASGRAY","RB","fox","Jonas Gray","NE",63,233,NA,NA,NA,NA,NA,85,310,3,2,10,0,NA,0,2,47.9
"DEANGELOWILLIAMS","RB","fox","DeAngelo Williams","PIT",64,234,NA,NA,NA,NA,NA,62,237,3,4,44,0,NA,0,1,47.2
"JERICKMCKINNON","RB","fox","Jerick McKinnon","MIN",65,235,NA,NA,NA,NA,NA,63,238,2,16,84,1,NA,0,2,46.8
"LANCEMOORE","WR","fox","Lance Moore","DET",100,236,NA,NA,NA,NA,NA,0,0,0,17,307,2,NA,0,0,44.8
"PHILLIPDORSETT","WR","fox","Phillip Dorsett","IND",101,237,NA,NA,NA,NA,NA,0,0,0,26,291,3,NA,0,0,44.3
"LANCEKENDRICKS","TE","fox","Lance Kendricks","STL",38,238,NA,NA,NA,NA,NA,0,0,0,33,304,2,NA,0,0,44
"BRUCEELLINGTON","WR","fox","Bruce Ellington","SF",102,239,NA,NA,NA,NA,NA,0,0,0,26,330,2,NA,0,0,43.8
"MARCEDESLEWIS","TE","fox","Marcedes Lewis","JAC",39,240,NA,NA,NA,NA,NA,0,0,0,29,317,2,NA,0,0,43.5
"BRANDONCOLEMAN","WR","fox","Brandon Coleman","NO",103,241,NA,NA,NA,NA,NA,0,0,0,24,291,2,NA,0,0,43.4
"REGGIEWAYNE","WR","fox","Reggie Wayne","NE",103,241,NA,NA,NA,NA,NA,0,0,0,20,306,2,NA,0,0,43.4
"SCOTTCHANDLER","TE","fox","Scott Chandler","NE",40,243,NA,NA,NA,NA,NA,0,0,0,28,305,2,NA,0,0,42.7
"JACOBYJONES","WR","fox","Jacoby Jones","SD",105,244,NA,NA,NA,NA,NA,0,0,0,19,289,2,NA,0,0,42.4
"RYANMATHEWS","RB","fox","Ryan Mathews","PHI",66,245,NA,NA,NA,NA,NA,46,182,3,5,37,0,NA,0,1,42
"TAVONAUSTIN","WR","fox","Tavon Austin","STL",106,246,NA,NA,NA,NA,NA,12,58,1,20,227,1,NA,0,0,41.9
"CHRISHOGAN","WR","fox","Chris Hogan","BUF",107,247,NA,NA,NA,NA,NA,0,0,0,18,264,2,NA,0,0,39.9
"MARQUESSWILSON","WR","fox","Marquess Wilson","CHI",108,248,NA,NA,NA,NA,NA,0,0,0,22,276,2,NA,0,0,39.7
"ANDRECALDWELL","WR","fox","Andre Caldwell","DEN",109,249,NA,NA,NA,NA,NA,0,0,0,13,256,2,NA,0,0,38.7
"CHRISMATTHEWS","WR","fox","Chris Matthews","SEA",110,250,NA,NA,NA,NA,NA,0,0,0,18,265,2,NA,0,0,38.2
"DARRENFELLS","TE","fox","Darren Fells","ARI",41,251,NA,NA,NA,NA,NA,0,0,0,27,276,2,NA,0,0,37.6
"RICHARDRODGERS","TE","fox","Richard Rodgers","GB",42,252,NA,NA,NA,NA,NA,0,0,0,18,238,2,NA,0,0,36.5
"JEFFJANIS","WR","fox","Jeff Janis","GB",111,253,NA,NA,NA,NA,NA,0,0,0,20,236,2,NA,0,0,36.3
"MARCELREECE","RB","fox","Marcel Reece","OAK",67,254,NA,NA,NA,NA,NA,25,88,1,14,136,1,NA,0,1,35.9
"JAELENSTRONG","WR","fox","Jaelen Strong","HOU",112,255,NA,NA,NA,NA,NA,0,0,0,19,250,2,NA,0,0,35.3
"BENJAMINWATSON","TE","fox","Benjamin Watson","NO",43,255,NA,NA,NA,NA,NA,0,0,0,22,246,2,NA,0,0,35.3
"BRANDONPETTIGREW","TE","fox","Brandon Pettigrew","DET",44,257,NA,NA,NA,NA,NA,0,0,0,23,249,2,NA,0,0,35.1
"MILESAUSTIN","WR","fox","Miles Austin","PHI",113,258,NA,NA,NA,NA,NA,0,0,0,13,231,2,NA,0,0,33.8
"JAMISONCROWDER","WR","fox","Jamison Crowder","WAS",114,259,NA,NA,NA,NA,NA,0,0,0,19,227,2,NA,0,0,33
"JAMESJONES","WR","fox","James Jones","NYG",115,260,NA,NA,NA,NA,NA,0,0,0,13,230,2,NA,0,0,32.6
"JESSEJAMES","TE","fox","Jesse James","PIT",45,260,NA,NA,NA,NA,NA,0,0,0,23,225,2,NA,0,0,32.6
"BRANDONMYERS","TE","fox","Brandon Myers","TB",46,262,NA,NA,NA,NA,NA,0,0,0,22,231,2,NA,0,0,32.2
"MIKETOLBERT","RB","fox","Mike Tolbert","CAR",68,263,NA,NA,NA,NA,NA,52,173,1,12,60,0,NA,0,1,32
"HAKEEMNICKS","WR","fox","Hakeem Nicks","TEN",116,263,NA,NA,NA,NA,NA,0,0,0,19,239,1,NA,0,0,32
"CLIVEWALFORD","TE","fox","Clive Walford","OAK",47,265,NA,NA,NA,NA,NA,0,0,0,23,234,2,NA,0,1,31.7
"MICHAELCAMPANARO","WR","fox","Michael Campanaro","BAL",117,266,NA,NA,NA,NA,NA,0,0,0,19,214,2,NA,0,0,31.1
"ZACSTACY","RB","fox","Zac Stacy","NYJ",69,267,NA,NA,NA,NA,NA,49,185,2,5,25,0,NA,0,1,29.8
"GAVINESCOBAR","TE","fox","Gavin Escobar","DAL",48,268,NA,NA,NA,NA,NA,0,0,0,18,209,1,NA,0,0,29.5
"JEREMYKERLEY","WR","fox","Jeremy Kerley","NYJ",118,269,NA,NA,NA,NA,NA,0,0,0,16,204,1,NA,0,0,28.2
"ANDREWILLIAMS","RB","fox","Andre Williams","NYG",70,270,NA,NA,NA,NA,NA,38,133,2,6,40,0,NA,0,1,28
"TRAVARISCADET","RB","fox","Travaris Cadet","NE",71,271,NA,NA,NA,NA,NA,43,130,1,9,64,0,NA,0,1,27.5
"CHRISTINEMICHAEL","RB","fox","Christine Michael","SEA",72,272,NA,NA,NA,NA,NA,38,156,2,3,23,0,NA,0,1,26.9
"MATTJONES","RB","fox","Matt Jones","WAS",73,273,NA,NA,NA,NA,NA,41,145,2,4,22,0,NA,0,1,26.8
"LEONARDHANKERSON","WR","fox","Leonard Hankerson","ATL",119,274,NA,NA,NA,NA,NA,0,0,0,14,172,2,NA,0,0,26.4
"DRIARCHER","WR","fox","Dri Archer","PIT",119,274,NA,NA,NA,NA,NA,30,106,2,4,48,0,NA,0,0,26.4
"JACEAMARO","TE","fox","Jace Amaro","NYJ",49,276,NA,NA,NA,NA,NA,0,0,0,18,190,1,NA,0,0,26.2
"RASHADGREENE","WR","fox","Rashad Greene","JAC",121,277,NA,NA,NA,NA,NA,0,0,0,15,184,1,NA,0,0,26.1
"ALBERTWILSON","WR","fox","Albert Wilson","KC",122,278,NA,NA,NA,NA,NA,0,0,0,12,174,1,NA,0,0,26
"BRANDONTATE","WR","fox","Brandon Tate","CIN",123,279,NA,NA,NA,NA,NA,0,0,0,13,181,1,NA,0,0,25.8
"DIONSIMS","TE","fox","Dion Sims","MIA",50,280,NA,NA,NA,NA,NA,0,0,0,17,170,1,NA,0,0,24.2
"TEDGINN","WR","fox","Ted Ginn Jr.","CAR",124,281,NA,NA,NA,NA,NA,0,0,0,11,165,1,NA,0,0,23.9
"DEVINSTREET","WR","fox","Devin Street","DAL",125,282,NA,NA,NA,NA,NA,0,0,0,14,163,1,NA,0,0,23.8
"BENNYCUNNINGHAM","RB","fox","Benny Cunningham","STL",74,283,NA,NA,NA,NA,NA,27,92,1,8,67,0,NA,0,1,23
"RUSSELLSHEPARD","WR","fox","Russell Shepard","TB",126,284,NA,NA,NA,NA,NA,0,0,0,13,155,1,NA,0,0,22.9
"DANNYWOODHEAD","RB","fox","Danny Woodhead","SD",75,285,NA,NA,NA,NA,NA,21,73,1,7,59,1,NA,0,0,22.4
"JARONBROWN","WR","fox","Jaron Brown","ARI",127,286,NA,NA,NA,NA,NA,0,0,0,14,155,1,NA,0,0,22.3
"QUINTONPATTON","WR","fox","Quinton Patton","SF",128,287,NA,NA,NA,NA,NA,0,0,0,12,147,1,NA,0,0,20.7
"CHRISPOLK","RB","fox","Chris Polk","HOU",76,288,NA,NA,NA,NA,NA,33,132,1,1,5,0,NA,0,1,20.1
"RONNIEHILLMAN","RB","fox","Ronnie Hillman","DEN",77,289,NA,NA,NA,NA,NA,22,86,1,4,34,0,NA,0,0,19.8
"CHRISJOHNSON","RB","fox","Chris Johnson","ARI",78,290,NA,NA,NA,NA,NA,19,65,1,5,35,0,NA,0,0,16.7
"KYLEJUSZCZYK","RB","fox","Kyle Juszczyk","BAL",79,291,NA,NA,NA,NA,NA,3,2,0,20,115,1,NA,0,0,15.2
"DEXTERMCCLUSTER","RB","fox","Dexter McCluster","TEN",80,292,NA,NA,NA,NA,NA,19,60,1,4,36,0,NA,0,1,13.7
"JAYAJAYI","RB","fox","Jay Ajayi","MIA",81,293,NA,NA,NA,NA,NA,18,59,1,1,8,0,NA,0,0,12.2
"KAMARAIKEN","WR","fox","Kamar Aiken","BAL",129,294,NA,NA,NA,NA,NA,0,0,0,5,76,1,NA,0,0,12
"JAVORIUSALLEN","RB","fox","Javorius Allen","BAL",82,295,NA,NA,NA,NA,NA,21,66,1,1,7,0,NA,0,0,11.5
"STEFONDIGGS","WR","fox","Stefon Diggs","MIN",130,296,NA,NA,NA,NA,NA,0,0,0,6,75,1,NA,0,0,11.4
"KENDALLHUNTER","RB","fox","Kendall Hunter","SF",83,297,NA,NA,NA,NA,NA,16,64,1,1,7,0,NA,0,0,10.9
"CHRISGIVENS","WR","fox","Chris Givens","STL",131,298,NA,NA,NA,NA,NA,0,0,0,5,72,1,NA,0,0,10.6
"ANTHONYSHERMAN","RB","fox","Anthony Sherman","KC",84,299,NA,NA,NA,NA,NA,4,2,0,13,75,1,NA,0,0,10.5
"LANCEDUNBAR","RB","fox","Lance Dunbar","DAL",85,300,NA,NA,NA,NA,NA,13,51,1,2,14,0,NA,0,0,10.4
"AUSTINPETTIS","WR","fox","Austin Pettis","SD",132,301,NA,NA,NA,NA,NA,0,0,0,5,67,1,NA,0,0,10
"JOHNKUHN","RB","fox","John Kuhn","GB",86,302,NA,NA,NA,NA,NA,3,9,0,13,60,0,NA,0,0,9
"JAMESDEVELIN","RB","fox","James Develin","NE",86,302,NA,NA,NA,NA,NA,5,3,0,11,65,0,NA,0,0,9
"DENARDROBINSON","RB","fox","Denard Robinson","JAC",88,304,NA,NA,NA,NA,NA,9,35,1,3,13,0,NA,0,0,8.8
"BRITTANGOLDEN","WR","fox","Brittan Golden","ARI",133,305,NA,NA,NA,NA,NA,0,0,0,4,59,1,NA,0,0,8.7
"MATTASIATA","RB","fox","Matt Asiata","MIN",89,306,NA,NA,NA,NA,NA,15,46,0,3,18,0,NA,0,0,8.6
"KHIRYROBINSON","RB","fox","Khiry Robinson","NO",89,306,NA,NA,NA,NA,NA,10,36,1,1,7,0,NA,0,0,8.6
