"name","pos","sourceName","name_cbs","team_cbs","positionRank","overallRank","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","fumbles","dstYdsAllowed","dstSack","dstSafety","dstInt","dstFumlRec","dstFumlForce","dstTd","fg","fgAtt","xp","points"
"BUFFALOBILLS","DST","cbs","Buffalo Bills","BUF",4,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5009,47,0,18,11,16,4,NA,NA,NA,193
"DEMARCOMURRAY","RB","cbs","DeMarco Murray","PHI",8,46,NA,NA,NA,NA,NA,245,1110,11,48.8,368,0.7,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190.4
"NEWYORKJETS","DST","cbs","New York Jets","NYJ",5,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5233,50,0,17,12,16,3,NA,NA,NA,190
"ARIZONACARDINALS","DST","cbs","Arizona Cardinals","ARZ",6,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5456,40,1,17,11,15,4,NA,NA,NA,186
"BALTIMORERAVENS","DST","cbs","Baltimore Ravens","BAL",7,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5266,45,1,15,12,17,3,NA,NA,NA,183
"LESEANMCCOY","RB","cbs","LeSean McCoy","BUF",9,50,NA,NA,NA,NA,NA,303,1344,7,31,207,0.7,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180
"JEREMYHILL","RB","cbs","Jeremy Hill","CIN",10,51,NA,NA,NA,NA,NA,264,1206,8.7,28.5,236,0.8,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179.6
"CALVINJOHNSON","WR","cbs","Calvin Johnson","DET",5,52,NA,NA,NA,NA,NA,NA,NA,NA,88,1267,10,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178.4
"CAROLINAPANTHERS","DST","cbs","Carolina Panthers","CAR",8,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5609,46,0,19,16,22,5,NA,NA,NA,178
"RANDALLCOBB","WR","cbs","Randall Cobb","GB",6,54,NA,NA,NA,NA,NA,NA,NA,NA,92,1245,10.3,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176
"CINCINNATIBENGALS","DST","cbs","Cincinnati Bengals","CIN",9,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5255,28,0,21,12,16,3,NA,NA,NA,176
"LAMARMILLER","RB","cbs","Lamar Miller","MIA",11,56,NA,NA,NA,NA,NA,253,1246,6.8,37.9,285,0.8,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.2
"JULIOJONES","WR","cbs","Julio Jones","ATL",7,57,NA,NA,NA,NA,NA,NA,NA,NA,111,1504,5.9,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.8
"MATTCASSEL","QB","cbs","Matt Cassel","BUF",31,58,395,233,2665,16.5,12.8,36.6,93,0.6,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172.8
"MIKEEVANS","WR","cbs","Mike Evans","TB",8,59,NA,NA,NA,NA,NA,NA,NA,NA,80,1199,10.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171.4
"JUSTINFORSETT","RB","cbs","Justin Forsett","BAL",12,60,NA,NA,NA,NA,NA,222,1248,5.1,46.8,285,1,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171
"SANDIEGOCHARGERS","DST","cbs","San Diego Chargers","SD",10,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5943,32,0,15,13,17,3,NA,NA,NA,170
"EMMANUELSANDERS","WR","cbs","Emmanuel Sanders","DEN",9,62,NA,NA,NA,NA,NA,NA,NA,NA,95,1282,7.9,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.4
"GENOSMITH","QB","cbs","Geno Smith","NYJ",32,63,341,199,2332,15.4,13.3,45.2,207,2,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.6
"MELVINGORDON","RB","cbs","Melvin Gordon","SD",13,64,NA,NA,NA,NA,NA,216,984,7.1,42.7,344,1.6,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168
"GREENBAYPACKERS","DST","cbs","Green Bay Packers","GB",11,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5719,49,0,19,12,16,4,NA,NA,NA,167
"MIAMIDOLPHINS","DST","cbs","Miami Dolphins","MIA",12,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5304,45,0,19,13,18,4,NA,NA,NA,165
"AJGREEN","WR","cbs","A.J. Green","CIN",10,67,NA,NA,NA,NA,NA,NA,NA,NA,94,1276,8.4,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.6
